component,crowd_bin,head_area_bin,inout_bin,metric,people_count,person,sample_id,value
ggsf,4+,medium,all_in,variance,4,2,1,0.00038663463783450425
ggsf,4+,medium,all_in,std,4,2,1,0.019663026556372643
ggsf,4+,medium,all_in,min,4,2,1,0.9144412875175476
ggsf,4+,medium,all_in,max,4,2,1,0.9837910532951355
ggsf,4+,medium,all_in,spatial_entropy,4,2,1,0.9999686530972797
ggsf,4+,medium,all_in,identity_l1,4,2,1,0.058943361043930054
ggsf,4+,medium,all_in,dynamic_range,4,2,1,0.06934976577758789
ggsf,4+,medium,all_in,mean,4,3,1,0.9466826915740967
ggsf,4+,medium,all_in,variance,4,3,1,0.00031060032779350877
ggsf,4+,medium,all_in,std,4,3,1,0.01762385666370392
ggsf,4+,medium,all_in,min,4,3,1,0.9223847985267639
ggsf,4+,medium,all_in,max,4,3,1,0.9842251539230347
ggsf,4+,medium,all_in,spatial_entropy,4,3,1,0.9999750945580445
ggsf,4+,medium,all_in,identity_l1,4,3,1,0.05331728979945183
ggsf,4+,medium,all_in,dynamic_range,4,3,1,0.06184035539627075
ggsf,4+,medium,all_in,inter_person_l1,4,all,1,0.009799139574170113
sasa,4+,medium,all_in,entropy,4,0,1,0.6857246546206237
sasa,4+,medium,all_in,max_weight,4,0,1,0.6606044769287109
sasa,4+,medium,all_in,uniform_l1,4,0,1,0.2053022412583232
sasa,4+,medium,all_in,weight_layer_0,4,0,1,0.038542162626981735
sasa,4+,medium,all_in,weight_layer_1,4,0,1,0.09799555689096451
sasa,4+,medium,all_in,weight_layer_2,4,0,1,0.20285779237747192
sasa,4+,medium,all_in,weight_layer_3,4,0,1,0.6606044769287109
sasa,4+,medium,all_in,entropy,4,1,1,0.6928648999206121
sasa,4+,medium,all_in,max_weight,4,1,1,0.6552985310554504
sasa,4+,medium,all_in,uniform_l1,4,1,1,0.20264927204698324
sasa,4+,medium,all_in,weight_layer_0,4,1,1,0.03986738249659538
sasa,4+,medium,all_in,weight_layer_1,4,1,1,0.10006784647703171
sasa,4+,medium,all_in,weight_layer_2,4,1,1,0.20476621389389038
sasa,4+,medium,all_in,weight_layer_3,4,1,1,0.6552985310554504
sasa,4+,medium,all_in,entropy,4,2,1,0.6937389008282859
sasa,4+,medium,all_in,max_weight,4,2,1,0.6546065211296082
sasa,4+,medium,all_in,uniform_l1,4,2,1,0.2023032521829009
sasa,4+,medium,all_in,weight_layer_0,4,2,1,0.040007736533880234
sasa,4+,medium,all_in,weight_layer_1,4,2,1,0.1003165915608406
sasa,4+,medium,all_in,weight_layer_2,4,2,1,0.2050691843032837
sasa,4+,medium,all_in,weight_layer_3,4,2,1,0.6546065211296082
sasa,4+,medium,all_in,entropy,4,3,1,0.6906503393116458
sasa,4+,medium,all_in,max_weight,4,3,1,0.6569262146949768
sasa,4+,medium,all_in,uniform_l1,4,3,1,0.20346309337764978
sasa,4+,medium,all_in,weight_layer_0,4,3,1,0.03946465626358986
sasa,4+,medium,all_in,weight_layer_1,4,3,1,0.09935488551855087
sasa,4+,medium,all_in,weight_layer_2,4,3,1,0.20425429940223694
sasa,4+,medium,all_in,weight_layer_3,4,3,1,0.6569262146949768
sasa,4+,medium,all_in,inter_person_l1,4,all,1,0.0009553818963468075
ggsf,4+,medium,all_in,mean,4,0,2,0.9564591646194458
ggsf,4+,medium,all_in,variance,4,0,2,0.00028587153065018356
ggsf,4+,medium,all_in,std,4,0,2,0.016907736659049988
ggsf,4+,medium,all_in,min,4,0,2,0.926209568977356
ggsf,4+,medium,all_in,max,4,0,2,0.9881407022476196
ggsf,4+,medium,all_in,spatial_entropy,4,0,2,0.9999774959487496
ggsf,4+,medium,all_in,identity_l1,4,0,2,0.043540824204683304
ggsf,4+,medium,all_in,dynamic_range,4,0,2,0.06193113327026367
ggsf,4+,medium,all_in,mean,4,1,2,0.9427265524864197
ggsf,4+,medium,all_in,variance,4,1,2,0.00035437490441836417
ggsf,4+,medium,all_in,std,4,1,2,0.018824847415089607
ggsf,4+,medium,all_in,min,4,1,2,0.9175101518630981
ggsf,4+,medium,all_in,max,4,1,2,0.9871318340301514
ggsf,4+,medium,all_in,spatial_entropy,4,1,2,0.9999713990421869
ggsf,4+,medium,all_in,identity_l1,4,1,2,0.05727342888712883
ggsf,4+,medium,all_in,dynamic_range,4,1,2,0.06962168216705322
ggsf,4+,medium,all_in,mean,4,2,2,0.941055953502655
ggsf,4+,medium,all_in,variance,4,2,2,0.0003866407205350697
ggsf,4+,medium,all_in,std,4,2,2,0.01966318115592003
ggsf,4+,medium,all_in,min,4,2,2,0.9144399166107178
ggsf,4+,medium,all_in,max,4,2,2,0.983790934085846
ggsf,4+,medium,all_in,spatial_entropy,4,2,2,0.9999686525586203
ggsf,4+,medium,all_in,identity_l1,4,2,2,0.05894407629966736
ggsf,4+,medium,all_in,dynamic_range,4,2,2,0.06935101747512817
ggsf,4+,medium,all_in,mean,4,3,2,0.9466826915740967
ggsf,4+,medium,all_in,variance,4,3,2,0.00031060032779350877
ggsf,4+,medium,all_in,std,4,3,2,0.01762385666370392
ggsf,4+,medium,all_in,min,4,3,2,0.9223847985267639
ggsf,4+,medium,all_in,max,4,3,2,0.9842251539230347
ggsf,4+,medium,all_in,spatial_entropy,4,3,2,0.9999750945580445
ggsf,4+,medium,all_in,identity_l1,4,3,2,0.05331728979945183
ggsf,4+,medium,all_in,dynamic_range,4,3,2,0.06184035539627075
ggsf,4+,medium,all_in,inter_person_l1,4,all,2,0.009799017570912838
sasa,4+,medium,all_in,entropy,4,0,2,0.6876553285923224
sasa,4+,medium,all_in,max_weight,4,0,2,0.6593452095985413
sasa,4+,medium,all_in,uniform_l1,4,0,2,0.20467260852456093
sasa,4+,medium,all_in,weight_layer_0,4,0,2,0.038785792887210846
sasa,4+,medium,all_in,weight_layer_1,4,0,2,0.09908566623926163
sasa,4+,medium,all_in,weight_layer_2,4,0,2,0.20278331637382507
