bin,ci95_high,ci95_low,cluster_n,dimension,mean_improvement,metric,n,positive_means
near,0.0043994289312602325,0.0003385646391888654,59,target_distance,0.0023097164566016908,auc,5418,candidate_better
near,0.009518280694625497,0.0013214183445112936,59,target_distance,0.004886679027680429,l2,5418,candidate_better
near,,,0,target_distance,,avg_l2,0,candidate_better
near,,,0,target_distance,,min_l2,0,candidate_better
near,0.007576217828344193,-0.016501150653371984,46,target_distance,-0.0026996625421822273,target_confusion,4445,candidate_better
near,0.0036889271847368853,-0.010431019942010747,46,target_distance,-0.0019257185864297655,association_margin,4445,candidate_better
out_or_missing,,,0,target_distance,,auc,0,candidate_better
out_or_missing,,,0,target_distance,,l2,0,candidate_better
out_or_missing,,,0,target_distance,,avg_l2,0,candidate_better
out_or_missing,,,0,target_distance,,min_l2,0,candidate_better
out_or_missing,,,0,target_distance,,target_confusion,0,candidate_better
out_or_missing,,,0,target_distance,,association_margin,0,candidate_better
close,0.004146318103002329,-0.00022273309438882968,34,target_separation,0.001551363964576784,auc,2202,candidate_better
close,0.0089284598946825,-0.0013457395134595332,34,target_separation,0.003608710153484021,l2,2202,candidate_better
close,,,0,target_separation,,avg_l2,0,candidate_better
close,,,0,target_separation,,min_l2,0,candidate_better
close,0.04092541939789345,-0.009143654896122172,34,target_separation,0.013623978201634877,target_confusion,2202,candidate_better
close,0.006514447242223918,-0.0013510803040221425,34,target_separation,0.0019044623829395165,association_margin,2202,candidate_better
far,0.001625908017901375,-0.0006138035669441661,56,target_separation,0.0004764420173490561,auc,5544,candidate_better
far,0.00534454532412929,0.0007042945425656496,56,target_separation,0.0028105470594820834,l2,5544,candidate_better
far,,,0,target_separation,,avg_l2,0,candidate_better
far,,,0,target_separation,,min_l2,0,candidate_better
far,0.010968157597067199,0.0028096013140212037,56,target_separation,0.006854256854256854,target_confusion,5544,candidate_better
far,0.007468901852531341,0.0001718471313166676,56,target_separation,0.0036844909285476866,association_margin,5544,candidate_better
medium,0.002231344983865379,-0.0005075385014572431,59,target_separation,0.0008432284152256452,auc,6994,candidate_better
medium,0.0017211263591293399,-0.005584965790977146,59,target_separation,-0.0014826364708823486,l2,6994,candidate_better
medium,,,0,target_separation,,avg_l2,0,candidate_better
medium,,,0,target_separation,,min_l2,0,candidate_better
medium,-0.0035230787848469377,-0.021617027328661397,59,target_separation,-0.011724335144409494,target_confusion,6994,candidate_better
medium,2.90194074219393e-05,-0.009316484653683054,59,target_separation,-0.004177350467258707,association_margin,6994,candidate_better
shared_only,0.0013512614015477498,-0.001698856159349033,107,target_separation,-0.0003398329715873951,auc,5915,candidate_better
shared_only,0.0035106873329226285,-0.00397035979442861,107,target_separation,-0.0002973822017489322,l2,5915,candidate_better
shared_only,,,0,target_separation,,avg_l2,0,candidate_better
shared_only,,,0,target_separation,,min_l2,0,candidate_better
shared_only,,,0,target_separation,,target_confusion,0,candidate_better
shared_only,,,0,target_separation,,association_margin,0,candidate_better
undefined,,,0,target_separation,,auc,0,candidate_better
undefined,,,0,target_separation,,l2,0,candidate_better
undefined,,,0,target_separation,,avg_l2,0,candidate_better
undefined,,,0,target_separation,,min_l2,0,candidate_better
undefined,,,0,target_separation,,target_confusion,0,candidate_better
undefined,,,0,target_separation,,association_margin,0,candidate_better
