cluster_i,cluster_j,diag_margin,diagonal_correct,head_bbox_iou,mean_head_size,path,people_count,query_i,query_j,sequence_id,swap_error,target_separation
0,1,5.063677787780762,1.0,0.0,0.15570730366846788,images/CBS This Morning/11118_11359/00011131.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.4573798570477675
1,0,5.716508865356445,1.0,0.0,0.11401132307958034,images/CBS This Morning/11118_11359/00011131.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.4573798570477675
1,0,7.774233341217041,1.0,0.0,0.12825566136001815,images/CBS This Morning/11118_11359/00011131.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.4573798570477675
0,1,5.906528472900391,1.0,0.0,0.15580485291219676,images/CBS This Morning/11118_11359/00011132.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.4559532568866307
1,0,6.185266017913818,1.0,0.0,0.11410887232330916,images/CBS This Morning/11118_11359/00011132.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.4559532568866307
1,0,8.243708610534668,1.0,0.0,0.128353210603747,images/CBS This Morning/11118_11359/00011132.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.4559532568866307
0,1,5.815037727355957,1.0,0.0,0.1559021817747433,images/CBS This Morning/11118_11359/00011133.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.4552378410781609
1,0,6.355624198913574,1.0,0.0,0.11420620118585575,images/CBS This Morning/11118_11359/00011133.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.4552378410781609
1,0,8.563028335571289,1.0,0.0,0.1284505394662936,images/CBS This Morning/11118_11359/00011133.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.4552378410781609
0,1,6.078680515289307,1.0,0.0,0.15599929111494928,images/CBS This Morning/11118_11359/00011134.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.4554586737306691
1,0,6.588512420654297,1.0,0.0,0.11430331052606174,images/CBS This Morning/11118_11359/00011134.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.4554586737306691
1,0,8.813970565795898,1.0,0.0,0.12854764880649955,images/CBS This Morning/11118_11359/00011134.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.4554586737306691
0,1,6.347232341766357,1.0,0.0,0.15609618178527734,images/CBS This Morning/11118_11359/00011135.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.4549589065263696
