bin,ci95_high,ci95_low,cluster_n,dimension,mean_improvement,metric,n,positive_means
near,0.01340508319550444,-0.01497790051394609,59,target_distance,-0.002989949391234544,l2,5418,candidate_better
near,,,0,target_distance,,avg_l2,0,candidate_better
near,,,0,target_distance,,min_l2,0,candidate_better
near,0.0599119683644001,-0.03141967981006769,46,target_distance,0.011923509561304836,target_confusion,4445,candidate_better
near,0.0281680972649293,-0.01917868168969606,46,target_distance,0.0023394389511385816,association_margin,4445,candidate_better
out_or_missing,,,0,target_distance,,auc,0,candidate_better
out_or_missing,,,0,target_distance,,l2,0,candidate_better
out_or_missing,,,0,target_distance,,avg_l2,0,candidate_better
out_or_missing,,,0,target_distance,,min_l2,0,candidate_better
out_or_missing,,,0,target_distance,,target_confusion,0,candidate_better
out_or_missing,,,0,target_distance,,association_margin,0,candidate_better
close,0.007956648471543473,0.0002823514468732562,34,target_separation,0.004187565067356628,auc,2202,candidate_better
close,0.02172451570670177,-0.006064893901946456,34,target_separation,0.007921179830192112,l2,2202,candidate_better
close,,,0,target_separation,,avg_l2,0,candidate_better
close,,,0,target_separation,,min_l2,0,candidate_better
close,0.056634972740221674,-0.021086577958782434,34,target_separation,0.018619436875567667,target_confusion,2202,candidate_better
close,0.017359341349182,-0.006301244520528109,34,target_separation,0.005993964994775771,association_margin,2202,candidate_better
far,0.011510225874472233,-0.0007951476420027032,56,target_separation,0.005606781303262247,auc,5544,candidate_better
far,0.016447862794207218,-0.007000457720673884,56,target_separation,0.0034003825848976646,l2,5544,candidate_better
far,,,0,target_separation,,avg_l2,0,candidate_better
far,,,0,target_separation,,min_l2,0,candidate_better
far,0.03149992068097968,-0.016256975253995172,56,target_separation,0.005230880230880231,target_confusion,5544,candidate_better
far,0.029456870110390235,-0.007265574599993995,56,target_separation,0.009314230667610076,association_margin,5544,candidate_better
medium,0.008957891908664186,0.0017602463122582928,59,target_separation,0.005269342288060297,auc,6994,candidate_better
medium,0.015715808326495467,-0.004238024640462212,59,target_separation,0.005154517950751645,l2,6994,candidate_better
medium,,,0,target_separation,,avg_l2,0,candidate_better
medium,,,0,target_separation,,min_l2,0,candidate_better
medium,0.044474076799111494,-0.014919907197565195,59,target_separation,0.015298827566485559,target_confusion,6994,candidate_better
medium,0.023377552275230102,-0.002896640026885243,59,target_separation,0.00954902253556411,association_margin,6994,candidate_better
shared_only,0.005332564901698159,-0.006259838629950818,107,target_separation,-0.0004228873912937659,auc,5915,candidate_better
shared_only,0.010691640819007848,-0.004737633767442588,107,target_separation,0.002616646137522538,l2,5915,candidate_better
shared_only,,,0,target_separation,,avg_l2,0,candidate_better
shared_only,,,0,target_separation,,min_l2,0,candidate_better
shared_only,,,0,target_separation,,target_confusion,0,candidate_better
shared_only,,,0,target_separation,,association_margin,0,candidate_better
undefined,,,0,target_separation,,auc,0,candidate_better
undefined,,,0,target_separation,,l2,0,candidate_better
undefined,,,0,target_separation,,avg_l2,0,candidate_better
undefined,,,0,target_separation,,min_l2,0,candidate_better
undefined,,,0,target_separation,,target_confusion,0,candidate_better
undefined,,,0,target_separation,,association_margin,0,candidate_better
