method,coverage,risk
final_plus_disagreement,0.78125,0.052867974605186906
final_plus_disagreement,0.7875,0.05389816440263366
final_plus_disagreement,0.79375,0.054479304060317355
final_plus_disagreement,0.8,0.055460965987259525
final_plus_disagreement,0.80625,0.05639249902635231
final_plus_disagreement,0.8125,0.05673063333389234
final_plus_disagreement,0.81875,0.057815058698400805
final_plus_disagreement,0.825,0.05894570152157057
final_plus_disagreement,0.83125,0.06006269641110054
final_plus_disagreement,0.8375,0.0607039120105073
final_plus_disagreement,0.84375,0.061515690450368206
final_plus_disagreement,0.85,0.06269598929928662
final_plus_disagreement,0.85625,0.06371144017050297
final_plus_disagreement,0.8625,0.06461852914192635
final_plus_disagreement,0.86875,0.06567738127368856
final_plus_disagreement,0.875,0.06636102505793466
final_plus_disagreement,0.88125,0.06693978786176574
final_plus_disagreement,0.8875,0.06824079311061666
final_plus_disagreement,0.89375,0.0690474074944009
final_plus_disagreement,0.9,0.06984386045355073
final_plus_disagreement,0.90625,0.07035891536955842
final_plus_disagreement,0.9125,0.07139024413201454
final_plus_disagreement,0.91875,0.07247727177489778
final_plus_disagreement,0.925,0.0735372093314179
final_plus_disagreement,0.93125,0.0744437258128627
final_plus_disagreement,0.9375,0.07528312939684413
final_plus_disagreement,0.94375,0.07596980237639556
final_plus_disagreement,0.95,0.0767000230854438
final_plus_disagreement,0.95625,0.07762806060072974
final_plus_disagreement,0.9625,0.07875630196038538
final_plus_disagreement,0.96875,0.07963168494164939
final_plus_disagreement,0.975,0.08087484270576209
final_plus_disagreement,0.98125,0.08201359207888463
final_plus_disagreement,0.9875,0.0831179191629168
final_plus_disagreement,0.99375,0.08432399557155126
final_plus_disagreement,1.0,0.08554111396721821
