crowd_bin,head_area_bin,inout_bin,layer_a,layer_b,mean,metric,n,scope,std
2-3,large,all_out,layer_2,,4.860118550343776,effective_rank,37,layer,0.12723366028406552
2-3,large,mixed,layer_2,,5.010873335785037,effective_rank,40,layer,0.06408113694149677
4+,medium,all_in,layer_2,,5.835174200815301,effective_rank,480,layer,0.15056861777435018
4+,medium,all_out,layer_2,,6.0426379986538645,effective_rank,1,layer,
4+,medium,mixed,layer_2,,5.93446005496253,effective_rank,272,layer,0.1140239124482126
1,large,all_in,layer_2,,0.08935169436215194,normalized_effective_rank,33,layer,0.0004022555738358403
1,large,all_out,layer_2,,0.08919359390870156,normalized_effective_rank,119,layer,0.0003985102845892869
2-3,large,all_in,layer_2,,0.07889208683162562,normalized_effective_rank,18,layer,0.000327799208455077
2-3,large,all_out,layer_2,,0.0759393523491215,normalized_effective_rank,37,layer,0.0019880259419385237
2-3,large,mixed,layer_2,,0.0782948958716412,normalized_effective_rank,40,layer,0.001001267764710887
4+,medium,all_in,layer_2,,0.09117459688773907,normalized_effective_rank,480,layer,0.0023526346527242216
4+,medium,all_out,layer_2,,0.09441621872896663,normalized_effective_rank,1,layer,
4+,medium,mixed,layer_2,,0.09272593835878953,normalized_effective_rank,272,layer,0.0017816236320033218
1,large,all_in,layer_2,,5.358637888977358,spatial_variance,33,layer,0.03646315896431087
1,large,all_out,layer_2,,5.400010834690383,spatial_variance,119,layer,0.042367562921202064
2-3,large,all_in,layer_2,,6.740298976989028,spatial_variance,18,layer,0.06523872849243566
2-3,large,all_out,layer_2,,6.8485274798911835,spatial_variance,37,layer,0.08450394004005335
2-3,large,mixed,layer_2,,6.796083634914997,spatial_variance,40,layer,0.061217304086694874
4+,medium,all_in,layer_2,,6.764882822321314,spatial_variance,480,layer,0.48183433144944715
4+,medium,all_out,layer_2,,5.688489154748662,spatial_variance,1,layer,
4+,medium,mixed,layer_2,,6.414751746712043,spatial_variance,272,layer,0.5489025549749512
1,large,all_in,layer_2,,0.4330560696499053,token_cosine,33,layer,0.001273798825534625
1,large,all_out,layer_2,,0.4330220952361994,token_cosine,119,layer,0.0012206132431061931
2-3,large,all_in,layer_2,,0.40694147462254077,token_cosine,18,layer,0.0020964905788939045
2-3,large,all_out,layer_2,,0.4069854837328939,token_cosine,37,layer,0.0013691696371310041
2-3,large,mixed,layer_2,,0.4059035716287447,token_cosine,40,layer,0.0025340840805289136
4+,medium,all_in,layer_2,,0.3870094421794389,token_cosine,480,layer,0.013403251734305243
4+,medium,all_out,layer_2,,0.4213775395489307,token_cosine,1,layer,
4+,medium,mixed,layer_2,,0.3977898561346486,token_cosine,272,layer,0.016319276851438472
1,large,all_in,layer_5,,8.569890175823197,effective_rank,33,layer,0.0486183891812278
1,large,all_out,layer_5,,8.543505446769,effective_rank,119,layer,0.0877058199722932
2-3,large,all_in,layer_5,,8.654021132128545,effective_rank,18,layer,0.03789365202771535
2-3,large,all_out,layer_5,,8.236790609195351,effective_rank,37,layer,0.20592378262635552
2-3,large,mixed,layer_5,,8.491993703366392,effective_rank,40,layer,0.11264428989088554
4+,medium,all_in,layer_5,,8.727435194226624,effective_rank,480,layer,0.13756491043828628
4+,medium,all_out,layer_5,,8.758057661218317,effective_rank,1,layer,
