crowd_bin,head_area_bin,inout_bin,layer_a,layer_b,metric,people_count,sample_id,scope,value
4+,medium,all_in,layer_11,,token_cosine,4,2,layer,0.42809899917838345
4+,medium,all_in,layer_11,,effective_rank,4,2,layer,19.366778021329996
4+,medium,all_in,layer_11,,normalized_effective_rank,4,2,layer,0.3026059065832812
4+,medium,all_in,layer_11,,spatial_variance,4,2,layer,0.09181043971865903
4+,medium,all_in,layer_2,layer_5,linear_cka,4,2,pair,0.9352818222779746
4+,medium,all_in,layer_2,layer_5,directional_novelty,4,2,pair,0.14991401632072762
4+,medium,all_in,layer_2,layer_8,linear_cka,4,2,pair,0.8608605830338238
4+,medium,all_in,layer_2,layer_8,directional_novelty,4,2,pair,0.4061812969180277
4+,medium,all_in,layer_2,layer_11,linear_cka,4,2,pair,0.7331205431852685
4+,medium,all_in,layer_2,layer_11,directional_novelty,4,2,pair,0.7675404937900587
4+,medium,all_in,layer_5,layer_8,linear_cka,4,2,pair,0.9635011077098364
4+,medium,all_in,layer_5,layer_8,directional_novelty,4,2,pair,0.2479480713250627
4+,medium,all_in,layer_5,layer_11,linear_cka,4,2,pair,0.8370462851559
4+,medium,all_in,layer_5,layer_11,directional_novelty,4,2,pair,0.7358949634256948
4+,medium,all_in,layer_8,layer_11,linear_cka,4,2,pair,0.8980205489825618
4+,medium,all_in,layer_8,layer_11,directional_novelty,4,2,pair,0.6699990996610874
4+,medium,all_in,layer_2,,token_cosine,4,3,layer,0.3959425916253035
4+,medium,all_in,layer_2,,effective_rank,4,3,layer,5.90448927038442
4+,medium,all_in,layer_2,,normalized_effective_rank,4,3,layer,0.09225764484975656
4+,medium,all_in,layer_2,,spatial_variance,4,3,layer,6.571081569087589
4+,medium,all_in,layer_5,,token_cosine,4,3,layer,0.23839097739134746
4+,medium,all_in,layer_5,,effective_rank,4,3,layer,8.885744451715164
4+,medium,all_in,layer_5,,normalized_effective_rank,4,3,layer,0.13883975705804943
4+,medium,all_in,layer_5,,spatial_variance,4,3,layer,6.291645789251924
4+,medium,all_in,layer_8,,token_cosine,4,3,layer,0.18164112524825518
4+,medium,all_in,layer_8,,effective_rank,4,3,layer,15.660589693554025
4+,medium,all_in,layer_8,,normalized_effective_rank,4,3,layer,0.24469671396178164
4+,medium,all_in,layer_8,,spatial_variance,4,3,layer,1.3615085433958372
4+,medium,all_in,layer_11,,token_cosine,4,3,layer,0.4277368780678989
4+,medium,all_in,layer_11,,effective_rank,4,3,layer,19.493364378570483
4+,medium,all_in,layer_11,,normalized_effective_rank,4,3,layer,0.3045838184151638
4+,medium,all_in,layer_11,,spatial_variance,4,3,layer,0.09243316776363575
4+,medium,all_in,layer_2,layer_5,linear_cka,4,3,pair,0.9356832358767332
4+,medium,all_in,layer_2,layer_5,directional_novelty,4,3,pair,0.14916448993759163
4+,medium,all_in,layer_2,layer_8,linear_cka,4,3,pair,0.8607242857238923
4+,medium,all_in,layer_2,layer_8,directional_novelty,4,3,pair,0.4078239439604385
4+,medium,all_in,layer_2,layer_11,linear_cka,4,3,pair,0.7344469987256227
4+,medium,all_in,layer_2,layer_11,directional_novelty,4,3,pair,0.768372282883845
4+,medium,all_in,layer_5,layer_8,linear_cka,4,3,pair,0.9629296335895914
4+,medium,all_in,layer_5,layer_8,directional_novelty,4,3,pair,0.2494443123727439
4+,medium,all_in,layer_5,layer_11,linear_cka,4,3,pair,0.8364587266959912
4+,medium,all_in,layer_5,layer_11,directional_novelty,4,3,pair,0.7379220234219922
4+,medium,all_in,layer_8,layer_11,linear_cka,4,3,pair,0.8960155373908987
4+,medium,all_in,layer_8,layer_11,directional_novelty,4,3,pair,0.6714464382120842
4+,medium,all_in,layer_2,,token_cosine,4,4,layer,0.3968263168920755
4+,medium,all_in,layer_2,,effective_rank,4,4,layer,5.93026936311607
4+,medium,all_in,layer_2,,normalized_effective_rank,4,4,layer,0.09266045879868859
4+,medium,all_in,layer_2,,spatial_variance,4,4,layer,6.557733395041086
4+,medium,all_in,layer_5,,token_cosine,4,4,layer,0.23861052994775803
4+,medium,all_in,layer_5,,effective_rank,4,4,layer,8.923111833861954
4+,medium,all_in,layer_5,,normalized_effective_rank,4,4,layer,0.13942362240409303
4+,medium,all_in,layer_5,,spatial_variance,4,4,layer,6.285824148145932
4+,medium,all_in,layer_8,,token_cosine,4,4,layer,0.18195844251839613
4+,medium,all_in,layer_8,,effective_rank,4,4,layer,15.630009000376385
4+,medium,all_in,layer_8,,normalized_effective_rank,4,4,layer,0.244218890630881
4+,medium,all_in,layer_8,,spatial_variance,4,4,layer,1.3705521815211152
4+,medium,all_in,layer_11,,token_cosine,4,4,layer,0.4273907492768065
4+,medium,all_in,layer_11,,effective_rank,4,4,layer,19.25810119156633
4+,medium,all_in,layer_11,,normalized_effective_rank,4,4,layer,0.3009078311182239
4+,medium,all_in,layer_11,,spatial_variance,4,4,layer,0.09220189430883173
4+,medium,all_in,layer_2,layer_5,linear_cka,4,4,pair,0.9344015930972384
4+,medium,all_in,layer_2,layer_5,directional_novelty,4,4,pair,0.14902067976466704
4+,medium,all_in,layer_2,layer_8,linear_cka,4,4,pair,0.8587546247667535
4+,medium,all_in,layer_2,layer_8,directional_novelty,4,4,pair,0.40516637917089443
4+,medium,all_in,layer_2,layer_11,linear_cka,4,4,pair,0.7341036352338297
4+,medium,all_in,layer_2,layer_11,directional_novelty,4,4,pair,0.7680497779382435
4+,medium,all_in,layer_5,layer_8,linear_cka,4,4,pair,0.9631393004111962
4+,medium,all_in,layer_5,layer_8,directional_novelty,4,4,pair,0.24735648192498333
4+,medium,all_in,layer_5,layer_11,linear_cka,4,4,pair,0.8375094559555204
4+,medium,all_in,layer_5,layer_11,directional_novelty,4,4,pair,0.7372964889331599
4+,medium,all_in,layer_8,layer_11,linear_cka,4,4,pair,0.8963292224212492
4+,medium,all_in,layer_8,layer_11,directional_novelty,4,4,pair,0.6713962742298022
4+,medium,all_in,layer_2,,token_cosine,4,5,layer,0.3981604863027563
4+,medium,all_in,layer_2,,effective_rank,4,5,layer,5.935383194187393
4+,medium,all_in,layer_2,,normalized_effective_rank,4,5,layer,0.09274036240917802
4+,medium,all_in,layer_2,,spatial_variance,4,5,layer,6.544878062656753
4+,medium,all_in,layer_5,,token_cosine,4,5,layer,0.23921938657258823
4+,medium,all_in,layer_5,,effective_rank,4,5,layer,8.886889695431119
4+,medium,all_in,layer_5,,normalized_effective_rank,4,5,layer,0.13885765149111123
4+,medium,all_in,layer_5,,spatial_variance,4,5,layer,6.291328775605088
4+,medium,all_in,layer_8,,token_cosine,4,5,layer,0.18217970433650366
4+,medium,all_in,layer_8,,effective_rank,4,5,layer,15.449715890076138
4+,medium,all_in,layer_8,,normalized_effective_rank,4,5,layer,0.24140181078243966
4+,medium,all_in,layer_8,,spatial_variance,4,5,layer,1.3564453415896391
4+,medium,all_in,layer_11,,token_cosine,4,5,layer,0.4278231335260287
4+,medium,all_in,layer_11,,effective_rank,4,5,layer,19.097279708156453
4+,medium,all_in,layer_11,,normalized_effective_rank,4,5,layer,0.2983949954399446
4+,medium,all_in,layer_11,,spatial_variance,4,5,layer,0.09246203813993555
4+,medium,all_in,layer_2,layer_5,linear_cka,4,5,pair,0.9329207800440039
4+,medium,all_in,layer_2,layer_5,directional_novelty,4,5,pair,0.14826835012260167
4+,medium,all_in,layer_2,layer_8,linear_cka,4,5,pair,0.8565670638453338
4+,medium,all_in,layer_2,layer_8,directional_novelty,4,5,pair,0.40705358555543575
4+,medium,all_in,layer_2,layer_11,linear_cka,4,5,pair,0.7267698536351014
4+,medium,all_in,layer_2,layer_11,directional_novelty,4,5,pair,0.769034061733072
4+,medium,all_in,layer_5,layer_8,linear_cka,4,5,pair,0.9616484331780001
4+,medium,all_in,layer_5,layer_8,directional_novelty,4,5,pair,0.2501630315020148
4+,medium,all_in,layer_5,layer_11,linear_cka,4,5,pair,0.8336149150853623
4+,medium,all_in,layer_5,layer_11,directional_novelty,4,5,pair,0.7379766423788231
4+,medium,all_in,layer_8,layer_11,linear_cka,4,5,pair,0.8952035210490106
4+,medium,all_in,layer_8,layer_11,directional_novelty,4,5,pair,0.6700973451739961
4+,medium,all_in,layer_2,,token_cosine,4,6,layer,0.39975638697432025
4+,medium,all_in,layer_2,,effective_rank,4,6,layer,5.953647480441869
4+,medium,all_in,layer_2,,normalized_effective_rank,4,6,layer,0.0930257418819042
4+,medium,all_in,layer_2,,spatial_variance,4,6,layer,6.510266340533829
4+,medium,all_in,layer_5,,token_cosine,4,6,layer,0.24007561154997958
4+,medium,all_in,layer_5,,effective_rank,4,6,layer,8.936562322335167
4+,medium,all_in,layer_5,,normalized_effective_rank,4,6,layer,0.13963378628648698
4+,medium,all_in,layer_5,,spatial_variance,4,6,layer,6.25766243553191
4+,medium,all_in,layer_8,,token_cosine,4,6,layer,0.18227930200835826
4+,medium,all_in,layer_8,,effective_rank,4,6,layer,15.661039085909753
4+,medium,all_in,layer_8,,normalized_effective_rank,4,6,layer,0.2447037357173399
4+,medium,all_in,layer_8,,spatial_variance,4,6,layer,1.3632952514925283
4+,medium,all_in,layer_11,,token_cosine,4,6,layer,0.4284211452858466
4+,medium,all_in,layer_11,,effective_rank,4,6,layer,19.294063297623993
4+,medium,all_in,layer_11,,normalized_effective_rank,4,6,layer,0.3014697390253749
4+,medium,all_in,layer_11,,spatial_variance,4,6,layer,0.09231232036647936
4+,medium,all_in,layer_2,layer_5,linear_cka,4,6,pair,0.9321163199075236
4+,medium,all_in,layer_2,layer_5,directional_novelty,4,6,pair,0.14963214043554787
4+,medium,all_in,layer_2,layer_8,linear_cka,4,6,pair,0.8543269634976982
4+,medium,all_in,layer_2,layer_8,directional_novelty,4,6,pair,0.40803794342474425
4+,medium,all_in,layer_2,layer_11,linear_cka,4,6,pair,0.7256223442062741
4+,medium,all_in,layer_2,layer_11,directional_novelty,4,6,pair,0.7683128261314692
4+,medium,all_in,layer_5,layer_8,linear_cka,4,6,pair,0.9612641664743581
4+,medium,all_in,layer_5,layer_8,directional_novelty,4,6,pair,0.24981041620729816
4+,medium,all_in,layer_5,layer_11,linear_cka,4,6,pair,0.8331551220933108
4+,medium,all_in,layer_5,layer_11,directional_novelty,4,6,pair,0.7388769167849055
4+,medium,all_in,layer_8,layer_11,linear_cka,4,6,pair,0.8954568302499583
4+,medium,all_in,layer_8,layer_11,directional_novelty,4,6,pair,0.6711052064932471
4+,medium,all_in,layer_2,,token_cosine,4,7,layer,0.39940987514093446
4+,medium,all_in,layer_2,,effective_rank,4,7,layer,5.961799374137747
4+,medium,all_in,layer_2,,normalized_effective_rank,4,7,layer,0.09315311522090229
4+,medium,all_in,layer_2,,spatial_variance,4,7,layer,6.505802823333536
4+,medium,all_in,layer_5,,token_cosine,4,7,layer,0.2399183625794385
4+,medium,all_in,layer_5,,effective_rank,4,7,layer,8.932080340929872
4+,medium,all_in,layer_5,,normalized_effective_rank,4,7,layer,0.13956375532702925
4+,medium,all_in,layer_5,,spatial_variance,4,7,layer,6.268789691460026
4+,medium,all_in,layer_8,,token_cosine,4,7,layer,0.18216645777830645
4+,medium,all_in,layer_8,,effective_rank,4,7,layer,15.595904138092747
4+,medium,all_in,layer_8,,normalized_effective_rank,4,7,layer,0.24368600215769917
4+,medium,all_in,layer_8,,spatial_variance,4,7,layer,1.3612813008820754
4+,medium,all_in,layer_11,,token_cosine,4,7,layer,0.42839149583776936
4+,medium,all_in,layer_11,,effective_rank,4,7,layer,19.201686128788186
4+,medium,all_in,layer_11,,normalized_effective_rank,4,7,layer,0.3000263457623154
4+,medium,all_in,layer_11,,spatial_variance,4,7,layer,0.09263830832818913
4+,medium,all_in,layer_2,layer_5,linear_cka,4,7,pair,0.9309900764324331
4+,medium,all_in,layer_2,layer_5,directional_novelty,4,7,pair,0.14889838141207956
4+,medium,all_in,layer_2,layer_8,linear_cka,4,7,pair,0.851599383962795
4+,medium,all_in,layer_2,layer_8,directional_novelty,4,7,pair,0.40673075276946596
4+,medium,all_in,layer_2,layer_11,linear_cka,4,7,pair,0.7234247814368362
4+,medium,all_in,layer_2,layer_11,directional_novelty,4,7,pair,0.7692905369973246
4+,medium,all_in,layer_5,layer_8,linear_cka,4,7,pair,0.9607664502051768
4+,medium,all_in,layer_5,layer_8,directional_novelty,4,7,pair,0.25012647107522923
4+,medium,all_in,layer_5,layer_11,linear_cka,4,7,pair,0.8320467974486812
4+,medium,all_in,layer_5,layer_11,directional_novelty,4,7,pair,0.7400673953460316
4+,medium,all_in,layer_8,layer_11,linear_cka,4,7,pair,0.8949433611512398
4+,medium,all_in,layer_8,layer_11,directional_novelty,4,7,pair,0.6726644897882783
4+,medium,all_in,layer_2,,token_cosine,4,8,layer,0.39909522874760267
4+,medium,all_in,layer_2,,effective_rank,4,8,layer,5.9626722799688485
4+,medium,all_in,layer_2,,normalized_effective_rank,4,8,layer,0.09316675437451326
4+,medium,all_in,layer_2,,spatial_variance,4,8,layer,6.523554803679565
4+,medium,all_in,layer_5,,token_cosine,4,8,layer,0.2397184924608493
4+,medium,all_in,layer_5,,effective_rank,4,8,layer,8.942493403214888
4+,medium,all_in,layer_5,,normalized_effective_rank,4,8,layer,0.13972645942523262
4+,medium,all_in,layer_5,,spatial_variance,4,8,layer,6.269173536241386
4+,medium,all_in,layer_8,,token_cosine,4,8,layer,0.18228963469810425
4+,medium,all_in,layer_8,,effective_rank,4,8,layer,15.528343642424966
