candidate,label,best_epoch,auc,l2,inout_ap,delta_auc,delta_l2,delta_inout_ap,major_improvement,no_collapse,qualified,manifest,manifest_sha256
r0,continued_baseline,0,0.9331574006969495,0.12681627523479128,0.9551577567618557,0.0,0.0,0.0,False,True,True,/home/fb/src/paper/gazelleV1/AAAIResults/P3/screen/r0_continued_baseline/run_manifest.json,a91053a1caa04b4c8157f9af95aadc43297cc06bb334ffb4dad3d53c4dc104d2
r1,residual_refinement,0,0.9324537083618061,0.12804158120812492,0.9520626011232753,-0.0007036923351434465,-0.0012253059733336458,-0.003095155638580316,False,True,False,/home/fb/src/paper/gazelleV1/AAAIResults/P3/screen/r1_residual_refinement/run_manifest.json,e40d0ab85954af09c89b1d34742339e0539089e3c2e5a035696257c5672a3bba
r2,cross_layer_attention,0,0.9312497123306565,0.12944332187271948,0.9531296437244665,-0.00190768836629307,-0.0026270466379282043,-0.0020281130373891454,False,True,False,/home/fb/src/paper/gazelleV1/AAAIResults/P3/screen/r2_cross_layer_attention/run_manifest.json,03a84a09dd601dc93740376cba78da2e04b49ceb5c11c3b65c74eca82f85bca8
r3,residual_coord005,0,0.9322319227145619,0.12778721031033644,0.9523054656995473,-0.0009254779823876236,-0.0009709350755451596,-0.002852291062308332,False,True,False,/home/fb/src/paper/gazelleV1/AAAIResults/P3/screen/r3_residual_coord005/run_manifest.json,21257a9515a44d48d5957dbe5fac2e798d23812f84f8be17f7114a4bd87900ae
