component,crowd_bin,head_area_bin,inout_bin,metric,people_count,person,sample_id,value
ggsf,4+,large,mixed,min,4,2,43,0.9266109466552734
ggsf,4+,large,mixed,max,4,2,43,0.9824647307395935
ggsf,4+,large,mixed,spatial_entropy,4,2,43,0.9999831416732271
ggsf,4+,large,mixed,identity_l1,4,2,43,0.052085842937231064
ggsf,4+,large,mixed,dynamic_range,4,2,43,0.05585378408432007
ggsf,4+,large,mixed,mean,4,3,43,0.944724440574646
ggsf,4+,large,mixed,variance,4,3,43,0.0002047292364295572
ggsf,4+,large,mixed,std,4,3,43,0.014308362267911434
ggsf,4+,large,mixed,min,4,3,43,0.9232704043388367
ggsf,4+,large,mixed,max,4,3,43,0.9847458600997925
ggsf,4+,large,mixed,spatial_entropy,4,3,43,0.9999835408675799
ggsf,4+,large,mixed,identity_l1,4,3,43,0.055275581777095795
ggsf,4+,large,mixed,dynamic_range,4,3,43,0.06147545576095581
ggsf,4+,large,mixed,inter_person_l1,4,all,43,0.0135725736618042
sasa,4+,large,mixed,entropy,4,0,43,0.6018405231494763
sasa,4+,large,mixed,max_weight,4,0,43,0.6953336596488953
sasa,4+,large,mixed,uniform_l1,4,0,43,0.22266682819463313
sasa,4+,large,mixed,weight_layer_0,4,0,43,0.011795132420957088
sasa,4+,large,mixed,weight_layer_1,4,0,43,0.0779067799448967
sasa,4+,large,mixed,weight_layer_2,4,0,43,0.21496443450450897
sasa,4+,large,mixed,weight_layer_3,4,0,43,0.6953336596488953
sasa,4+,large,mixed,entropy,4,1,43,0.6047897707817791
sasa,4+,large,mixed,max_weight,4,1,43,0.693329930305481
sasa,4+,large,mixed,uniform_l1,4,1,43,0.2216649737674743
sasa,4+,large,mixed,weight_layer_0,4,1,43,0.01209046971052885
sasa,4+,large,mixed,weight_layer_1,4,1,43,0.07878576219081879
sasa,4+,large,mixed,weight_layer_2,4,1,43,0.21579380333423615
sasa,4+,large,mixed,weight_layer_3,4,1,43,0.693329930305481
sasa,4+,large,mixed,entropy,4,2,43,0.6112296530080997
sasa,4+,large,mixed,max_weight,4,2,43,0.6886448264122009
sasa,4+,large,mixed,uniform_l1,4,2,43,0.2193224250804633
sasa,4+,large,mixed,weight_layer_0,4,2,43,0.01265967357903719
sasa,4+,large,mixed,weight_layer_1,4,2,43,0.08065309375524521
sasa,4+,large,mixed,weight_layer_2,4,2,43,0.21804235875606537
sasa,4+,large,mixed,weight_layer_3,4,2,43,0.6886448264122009
sasa,4+,large,mixed,entropy,4,3,43,0.6127435423161008
sasa,4+,large,mixed,max_weight,4,3,43,0.6875622868537903
sasa,4+,large,mixed,uniform_l1,4,3,43,0.21878114715218544
sasa,4+,large,mixed,weight_layer_0,4,3,43,0.012819036841392517
sasa,4+,large,mixed,weight_layer_1,4,3,43,0.08105891942977905
sasa,4+,large,mixed,weight_layer_2,4,3,43,0.21855974197387695
sasa,4+,large,mixed,weight_layer_3,4,3,43,0.6875622868537903
sasa,4+,large,mixed,inter_person_l1,4,all,43,0.0015570574905723333
ggsf,4+,large,mixed,mean,4,0,106,0.9668919444084167
ggsf,4+,large,mixed,variance,4,0,106,0.0001785295899026096
