component,crowd_bin,mean,metric,n,std,variance_across_observations
ggsf,1,0.05065441553322774,dynamic_range,212,0.012993510012362201,0.00016883130244135677
ggsf,2-3,0.058324110402603345,dynamic_range,1584,0.009880373235525543,9.76217752732895e-05
ggsf,4+,0.06663477950114541,dynamic_range,518,0.0067462921299096075,4.551245750208031e-05
ggsf,overall,0.0594818248713748,dynamic_range,2314,0.010578484185031956,0.0001119043276529712
ggsf,1,0.0333803079238179,identity_l1,212,0.012025021326567232,0.00014460113790439673
ggsf,2-3,0.037735203543273414,identity_l1,1584,0.010940655745257155,0.0001196979481362284
ggsf,4+,0.04787165451881163,identity_l1,518,0.00853986207350616,7.292924423450893e-05
ggsf,overall,0.03960531751648181,identity_l1,2314,0.011517917385007325,0.000132662420887854
ggsf,2-3,0.010873033962416873,inter_person_l1,679,0.005871241848333914,3.4471480841627436e-05
ggsf,4+,0.010067590845560808,inter_person_l1,109,0.004583311126173147,2.100674087930256e-05
ggsf,overall,0.01076162114549135,inter_person_l1,788,0.005714659723082239,3.265733575061837e-05
ggsf,1,0.9923686382343184,max,212,0.0036092837010999338,1.3026928835025637e-05
ggsf,2-3,0.9917885493298974,max,1584,0.003697911990013684,1.3674553085886963e-05
ggsf,4+,0.9889477107055399,max,518,0.003981477786277185,1.5852165362618672e-05
ggsf,overall,0.9912057595461118,max,2314,0.003948266855390673,1.5588811161376553e-05
ggsf,1,0.9666196931645555,mean,212,0.012025019892839947,0.00014460110342319647
ggsf,2-3,0.962264796813028,mean,1584,0.010940655613969067,0.00011969794526347286
ggsf,4+,0.952128345556701,mean,518,0.008539862760075748,7.292925596092855e-05
ggsf,overall,0.9603946828440334,mean,2314,0.011517917358287964,0.00013266242027235118
ggsf,1,0.9417142227010907,min,212,0.015708695806819276,0.00024676312395118156
ggsf,2-3,0.933464438927294,min,1584,0.011660401449108973,0.00013596496195438263
ggsf,4+,0.9223129312043945,min,518,0.006840737145496809,4.679568469377984e-05
ggsf,overall,0.9317239346747369,min,2314,0.012533189168038738,0.00015708083072184354
ggsf,1,0.9999822644391098,spatial_entropy,212,1.0115485059970084e-05,1.0232303799847797e-10
ggsf,2-3,0.9999762038292037,spatial_entropy,1584,1.0029343058780966e-05,1.0058772219071796e-10
ggsf,4+,0.9999682893510053,spatial_entropy,518,9.414833830829671e-06,8.86390960621349e-11
ggsf,overall,0.9999749873856397,spatial_entropy,2314,1.0672517558627617e-05,1.1390263103921479e-10
ggsf,1,0.014398126333582936,std,212,0.004502375609555582,2.0271386129520993e-05
ggsf,2-3,0.017017835729127524,std,1584,0.003819083882545258,1.4585401701916961e-05
ggsf,4+,0.019751679887599582,std,518,0.0030275948173002654,9.166330377743427e-06
ggsf,overall,0.017389811909867832,std,2314,0.004005572146005467,1.604460821685484e-05
ggsf,1,0.0002274818082113134,variance,212,0.0001269590112856288,1.6118590546624416e-08
ggsf,2-3,0.0003041829264243415,variance,1584,0.00012603491332729508,1.5884799377418782e-08
ggsf,4+,0.0003992774924168967,variance,518,0.00011816431572532494,1.3962805510834274e-08
ggsf,overall,0.0003184432324411875,variance,2314,0.00013350561954226028,1.7823750449362752e-08
sasa,1,0.6014461064565675,entropy,212,0.044992759783973255,0.002024348432978321
sasa,2-3,0.610498651795168,entropy,1584,0.038094295445360235,0.0014511753454783934
sasa,4+,0.6147367766975663,entropy,518,0.05629994816865841,0.003169684163793623
sasa,overall,0.6106180161372852,entropy,2314,0.04356428078871309,0.0018978465606378368
sasa,2-3,0.0008631133657053261,inter_person_l1,679,0.0005791803429868982,3.354498697024211e-07
sasa,4+,0.000907899749651124,inter_person_l1,109,0.0005519945008259943,3.0469792894213857e-07
sasa,overall,0.0008693084365810773,inter_person_l1,788,0.000575363295881283,3.310429222473728e-07
sasa,1,0.6882866770029068,max_weight,212,0.038139559323518674,0.0014546259853922003
sasa,2-3,0.6851779018538167,max_weight,1584,0.02731912668920473,0.0007463346830608182
sasa,4+,0.6921747463780481,max_weight,518,0.03469481856920146,0.0012037304355498062
sasa,overall,0.6870289933815431,max_weight,2314,0.030347330048574296,0.0009209604410771004
sasa,1,0.22063109627876812,uniform_l1,212,0.01699243282486353,0.00028874277330749956
sasa,2-3,0.2180505726879493,uniform_l1,1584,0.01294918618900736,0.00016768142295757896
sasa,4+,0.2210873727474661,uniform_l1,518,0.017347408990030014,0.00030093259866737415
sasa,overall,0.21896679284010284,uniform_l1,2314,0.014498279754736458,0.00021020011584660107
sasa,1,0.010317301362003903,weight_layer_0,212,0.006917852414738754,4.7856682032106814e-05
