sample_id,dataset,split,image_path,person_index,localization_l2,failure,final_entropy,final_negative_peak,final_negative_margin,final_spread,pairwise_peak_distance_mean,pairwise_peak_distance_max,pairwise_js_mean,pairwise_js_max,geometry_semantics_conflict,semantic_peak_outside_geometry_support,probe_l2_2,probe_l2_5,probe_l2_8,probe_l2_11,domain,risk_final_confidence,risk_final_plus_disagreement
gazefollow:463338b743cc71605c67,gazefollow,risk_train,train/00000018/00018541.jpg,0,0.002296764027931475,0,0.6944202679875341,-0.009374987701394513,-0.0005717060951847108,0.1005005590703177,0.2427271954591326,0.477511395444169,0.15162891205937964,0.26179867000073964,0.020234204419018968,0,0.44800238224813044,0.041937007821254965,0.032944699877218486,0.024359805520570155,id,0.2781938447313735,0.27277293437695904
gazefollow:d380a121443385a1796d,gazefollow,risk_train,train/00000056/00056018.jpg,0,0.02983354529719858,0,0.779940918579492,-0.0077933163552559555,-4.342958119420322e-05,0.2631667768611915,0.023809523809523808,0.047619047619047616,0.0674951650692789,0.12368396670689306,0.0,0,0.04024196099844041,0.014610883785726295,0.015586245538935922,0.014610883785726295,id,0.6891243106699677,0.6826397102178686
gazefollow:d915a389f911bd37d256,gazefollow,risk_train,train/00000012/00012697.jpg,0,0.12407763094127804,0,0.7946861713891021,-0.007003841307925474,-5.138506516051168e-05,0.21002882043298812,0.2533035557325984,0.4943622699173789,0.08148567497339812,0.1525835727647808,0.02861548631320626,0,0.47642084442223975,0.12407763094127804,0.12407763094127804,0.0683472914605985,id,0.7014906355852824,0.7020060720791929
gazefollow:b3f0d02f8ac189f37cdb,gazefollow,risk_train,train/00000009/00009168.jpg,0,0.01407262679814965,0,0.64197275845781,-0.013542447093258999,-0.000430821211676969,0.0827693896267065,0.042767657601324144,0.057230972626412524,0.14085374423570604,0.2725446641610998,0.007936507936507922,0,0.04156216819416428,0.024344366904891983,0.025805608886441716,0.01407262679814965,id,0.11932409917994,0.11706833825410871
gazefollow:83355d04c7974d4f27bf,gazefollow,risk_train,train/00000009/00009168.jpg,1,0.09474388700596993,0,0.6761017480716032,-0.01230875924240735,-8.284949822172025e-05,0.14235673140628302,0.042767657601324144,0.057230972626412524,0.1462200763152031,0.2925284562180827,0.007936507936507922,0,0.144140223827355,0.10458884261717404,0.10119094450591909,0.09474388700596993,id,0.21300681597728846,0.21856199446774427
gazefollow:7ac6393abeb47862a8c9,gazefollow,risk_train,train/00000111/00111966.jpg,0,0.021437397230074352,0,0.6338487367883229,-0.015132527516035306,-2.8033515158775238e-05,0.08051287252038042,0.14666086013028337,0.2772103047075076,0.0938264140773073,0.15677184000037225,0.007936507936507936,0,0.2545890367337133,0.018363503206087872,0.029983580923565494,0.021437397230074352,id,0.09134670853233212,0.08953773843975776
gazefollow:e86baa9d99d305ac70e7,gazefollow,risk_train,train/00000090/00090729.jpg,0,0.26424775211910506,1,0.7735690073105944,-0.008028043413687128,-0.0001318470308318935,0.1835454308572525,0.20236536118058443,0.34812241586446524,0.11712558972444294,0.16170219634451058,0.09606125743579526,0,0.24522279308824455,0.187137565042404,0.3165296433590383,0.04900095152137354,id,0.6135560472578638,0.6019436296440928
gazefollow:5d1f2b2b4ca46fde2e64,gazefollow,risk_train,train/00000074/00074384.jpg,0,0.021012561124241876,0,0.7206810651540472,-0.01074700255611416,-0.00021978941279484666,0.14848475903965122,0.12571783723984356,0.20634920634920637,0.0790483255730406,0.12171072251875563,0.012548720873684053,0,0.16904685807491368,0.2097937146937439,0.009986533432578075,0.042569387181400686,id,0.3670591126652713,0.3588757692042238
gazefollow:0b20b40cd0740a31fb89,gazefollow,risk_train,train/00000113/00113940.jpg,0,0.09826480053915543,0,0.8347803042121983,-0.003345470742346964,-5.391084209534734e-05,0.20155396715567378,0.14915287198488503,0.2559446904221762,0.09518378039423246,0.15111093905064885,0.028059792904228074,0,0.4768543925036237,0.38757372576066096,0.3795540587650197,0.31519555303017843,id,0.8331661901960794,0.8352928441237404
gazefollow:b6306d1e8155a461f25e,gazefollow,risk_train,train/00000064/00064951.jpg,0,0.015016861356488578,0,0.6852530431245157,-0.010704409981501893,-0.0002727908907340648,0.09820886022933252,0.14770354439078395,0.2861548631320627,0.13009030536546043,0.22161647474384766,0.007936507936507922,0,0.2731252114415657,0.015016861356488578,0.01688073606215087,0.021611770519788485,id,0.22362132947394917,0.21523166042344347
