domain,method,coverage,risk
id,final_confidence,0.00017683465959328028,0.009390746562441144
id,final_confidence,0.00035366931918656057,0.01527836233205116
id,final_confidence,0.0005305039787798408,0.01998947943899973
id,final_confidence,0.0007073386383731211,0.02591042704349308
id,final_confidence,0.0008841732979664014,0.027856079343212194
id,final_confidence,0.0010610079575596816,0.028981644419735705
id,final_confidence,0.001237842617152962,0.03018232311781836
id,final_confidence,0.0014146772767462423,0.02702957740894076
id,final_confidence,0.0015915119363395225,0.029560934093593456
id,final_confidence,0.0017683465959328027,0.031539832578857646
id,final_confidence,0.0019451812555260832,0.03325200951654227
id,final_confidence,0.002122015915119363,0.03169244825186933
id,final_confidence,0.0022988505747126436,0.03252043613702168
id,final_confidence,0.002475685234305924,0.032232713614741025
id,final_confidence,0.002652519893899204,0.03319612587033776
id,final_confidence,0.0028293545534924846,0.0315974600704308
id,final_confidence,0.003006189213085765,0.03198370601562043
id,final_confidence,0.003183023872679045,0.032429672002202745
id,final_confidence,0.0033598585322723255,0.031064368321260184
id,final_confidence,0.0035366931918656055,0.02984622499006622
id,final_confidence,0.003713527851458886,0.030348426229938726
id,final_confidence,0.0038903625110521664,0.03072193178171325
id,final_confidence,0.004067197170645446,0.030213989191963043
id,final_confidence,0.004244031830238726,0.02971318904597346
id,final_confidence,0.004420866489832007,0.030111553515748516
id,final_confidence,0.004597701149425287,0.029258370277254166
id,final_confidence,0.004774535809018567,0.03000339406877645
id,final_confidence,0.004951370468611848,0.029165162800847515
id,final_confidence,0.005128205128205128,0.02874325760150291
id,final_confidence,0.005305039787798408,0.02858299618756494
id,final_confidence,0.005481874447391689,0.02806376179300599
id,final_confidence,0.005658709106984969,0.02772517783040204
id,final_confidence,0.005835543766578249,0.027498629324616063
id,final_confidence,0.00601237842617153,0.02715878794421125
id,final_confidence,0.00618921308576481,0.0272250105169478
id,final_confidence,0.00636604774535809,0.028110838248334064
id,final_confidence,0.00654288240495137,0.02775116887599602
id,final_confidence,0.006719717064544651,0.027760631436254932
id,final_confidence,0.006896551724137931,0.027806089953030338
id,final_confidence,0.007073386383731211,0.027584737388274754
id,final_confidence,0.007250221043324492,0.027214595112004577
id,final_confidence,0.007427055702917772,0.027457465522314133
id,final_confidence,0.007603890362511052,0.027299837745064656
id,final_confidence,0.007780725022104333,0.027276405132440937
id,final_confidence,0.007957559681697613,0.027659150112018402
id,final_confidence,0.008134394341290893,0.02726115998220207
id,final_confidence,0.008311229000884173,0.027153827103658473
id,final_confidence,0.008488063660477453,0.027946016161453747
id,final_confidence,0.008664898320070735,0.02739702852192534
id,final_confidence,0.008841732979664015,0.027380307021174662
id,final_confidence,0.009018567639257295,0.026942629623297114
id,final_confidence,0.009195402298850575,0.02663749242812302
id,final_confidence,0.009372236958443855,0.026804375460030973
id,final_confidence,0.009549071618037135,0.026614364625138692
id,final_confidence,0.009725906277630416,0.02664550425919339
id,final_confidence,0.009902740937223696,0.027029327385707635
id,final_confidence,0.010079575596816976,0.02667426105855363
id,final_confidence,0.010256410256410256,0.02668196872546159
id,final_confidence,0.010433244916003536,0.02653803776263323
id,final_confidence,0.010610079575596816,0.026701492687410396
id,final_confidence,0.010786914235190096,0.026535059680723748
id,final_confidence,0.010963748894783378,0.026236813463160428
id,final_confidence,0.011140583554376658,0.026403389595028897
id,final_confidence,0.011317418213969938,0.026360468209235797
id,final_confidence,0.011494252873563218,0.026152330750994667
id,final_confidence,0.011671087533156498,0.025991068918062455
id,final_confidence,0.011847922192749778,0.02603839598047925
id,final_confidence,0.01202475685234306,0.026036033136091027
id,final_confidence,0.01220159151193634,0.026270118664413682
id,final_confidence,0.01237842617152962,0.026193032272590972
id,final_confidence,0.0125552608311229,0.02617020677638255
id,final_confidence,0.01273209549071618,0.0260020002730094
id,final_confidence,0.01290893015030946,0.025920655125087698
id,final_confidence,0.01308576480990274,0.025830989882055694
id,final_confidence,0.013262599469496022,0.02587276158465081
id,final_confidence,0.013439434129089302,0.025711112809744047
id,final_confidence,0.013616268788682582,0.02567916426992859
id,final_confidence,0.013793103448275862,0.026149084267559113
id,final_confidence,0.013969938107869142,0.026033213684122695
id,final_confidence,0.014146772767462422,0.026367340201125262
id,final_confidence,0.014323607427055704,0.026261448066425504
id,final_confidence,0.014500442086648984,0.02677831587427101
id,final_confidence,0.014677276746242264,0.026644927389710953
id,final_confidence,0.014854111405835544,0.026563179327339002
id,final_confidence,0.015030946065428824,0.02631309518505561
id,final_confidence,0.015207780725022104,0.026232235060388374
id,final_confidence,0.015384615384615385,0.026235141793290024
id,final_confidence,0.015561450044208665,0.026797944912003876
id,final_confidence,0.015738284703801945,0.026746288138966335
id,final_confidence,0.015915119363395226,0.027075596062721797
id,final_confidence,0.016091954022988506,0.02699441477848563
id,final_confidence,0.016268788682581786,0.026913575029771555
id,final_confidence,0.016445623342175066,0.026789950543284362
id,final_confidence,0.016622458001768346,0.026692467788155167
id,final_confidence,0.016799292661361626,0.026691208013371156
id,final_confidence,0.016976127320954906,0.02652719197253295
id,final_confidence,0.01715296198054819,0.026883327526544477
id,final_confidence,0.01732979664014147,0.02678838541153879
id,final_confidence,0.01750663129973475,0.02662752663153346
id,final_confidence,0.01768346595932803,0.026434572064887453
id,final_confidence,0.01786030061892131,0.026652214611823145
id,final_confidence,0.01803713527851459,0.026741868828393772
id,final_confidence,0.01821396993810787,0.02656774635542275
id,final_confidence,0.01839080459770115,0.026494087564331484
id,final_confidence,0.01856763925729443,0.026711653910294435
id,final_confidence,0.01874447391688771,0.026696255217148444
id,final_confidence,0.01892130857648099,0.026566508990746553
id,final_confidence,0.01909814323607427,0.027033709227215378
id,final_confidence,0.01927497789566755,0.026944631238852195
id,final_confidence,0.019451812555260833,0.026721068281126005
