candidate_association_margin,candidate_auc,candidate_avg_l2,candidate_l2,candidate_min_l2,candidate_target_confusion,crowd_bin,dataset,head_size_bin,improvement_association_margin,improvement_auc,improvement_avg_l2,improvement_l2,improvement_min_l2,improvement_target_confusion,inout,path,people_count,person_index,reference_association_margin,reference_auc,reference_avg_l2,reference_l2,reference_min_l2,reference_target_confusion,sequence_id,target_distance_bin,target_separation_bin,target_x,target_y
-0.17961104073814574,0.6501537080918318,,0.40205510096329494,,1.0,4,vat,large,-0.640312243316991,-0.2996488261448379,,-0.20657463477887192,,-1.0,1,images/CBS This Morning/11118_11359/00011121.jpg,4,0,0.4607012025788453,0.9498025342366697,,0.19548046618442302,,0.0,images/CBS This Morning/11118_11359,far,far,0.7734375,0.22685185185185186
0.0816452080731147,0.7739070779887787,,0.2814101160312237,,0.0,4,vat,medium,0.11270488446518895,-0.036057062970255904,,-0.03401038409313101,,1.0,1,images/CBS This Morning/11118_11359/00011121.jpg,4,1,-0.031059676392074242,0.8099641409590346,,0.24739973193809267,,1.0,images/CBS This Morning/11118_11359,medium,far,0.3151041666666667,0.18611111111111112
-0.0004328585335619528,0.6319297503958586,,0.2783618954967444,,1.0,4,vat,small,-0.45734407870369226,-0.292772196820523,,-0.2687303463201858,,-1.0,1,images/CBS This Morning/11118_11359/00011121.jpg,4,2,0.4569112201701303,0.9247019472163817,,0.009631549176558613,,0.0,images/CBS This Morning/11118_11359,near,far,0.7760416666666666,0.22685185185185186
-0.06455627848378209,0.6703608524587732,,0.40033773598667693,,1.0,4,vat,medium,-0.09561595487585633,-0.2824958189174056,,-0.18303071174334096,,-1.0,1,images/CBS This Morning/11118_11359/00011121.jpg,4,3,0.031059676392074242,0.9528566713761788,,0.21730702424333598,,0.0,images/CBS This Morning/11118_11359,medium,far,0.7760416666666666,0.22777777777777777
-0.17786440815498133,0.6545472749724661,,0.40205510096329494,,1.0,4,vat,large,-0.6369485400145529,-0.2941820838293153,,-0.23628578110871593,,-1.0,1,images/CBS This Morning/11118_11359/00011122.jpg,4,0,0.4590841318595716,0.9487293588017814,,0.16576931985457902,,0.0,images/CBS This Morning/11118_11359,far,far,0.7734375,0.22685185185185186
-0.01122125180498168,0.7742185732774125,,0.33291616952512876,,1.0,4,vat,medium,0.021398961889695672,-0.01504151416376498,,-0.08446788562307225,,-0.0,1,images/CBS This Morning/11118_11359/00011122.jpg,4,1,-0.03262021369467735,0.7892600874411775,,0.2484482839020565,,1.0,images/CBS This Morning/11118_11359,medium,far,0.3140625,0.18518518518518517
0.001416830170023864,0.625778460100791,,0.276988830663724,,0.0,4,vat,small,-0.4562856051623081,-0.2993447474106954,,-0.2664302233949062,,-0.0,1,images/CBS This Morning/11118_11359/00011122.jpg,4,2,0.45770243533233196,0.9251232075114864,,0.01055860726881782,,0.0,images/CBS This Morning/11118_11359,near,far,0.7744791666666667,0.22685185185185186
-0.06285696810218655,0.6682827338903166,,0.40033773598667693,,1.0,4,vat,medium,-0.0954771817968639,-0.2860668899049569,,-0.18303071174334096,,-1.0,1,images/CBS This Morning/11118_11359/00011122.jpg,4,3,0.03262021369467735,0.9543496237952734,,0.21730702424333598,,0.0,images/CBS This Morning/11118_11359,medium,far,0.7760416666666666,0.22777777777777777
-0.1776541945928725,0.6498585292230787,,0.40205510096329494,,1.0,4,vat,large,-0.6350100586063983,-0.2910003819525565,,-0.23628578110871593,,-1.0,1,images/CBS This Morning/11118_11359/00011123.jpg,4,0,0.4573558640135258,0.9408589111756352,,0.16576931985457902,,0.0,images/CBS This Morning/11118_11359,far,far,0.7734375,0.22685185185185186
-0.011067742222423849,0.7721582544397348,,0.3322375461057877,,1.0,4,vat,medium,0.021193431254957956,0.024587361449491252,,-0.08483088346647777,,-0.0,1,images/CBS This Morning/11118_11359/00011123.jpg,4,1,-0.032261173477381805,0.7475708929902436,,0.24740666263930994,,1.0,images/CBS This Morning/11118_11359,medium,far,0.3151041666666667,0.18518518518518517
0.0012150238763067311,0.6240452113161788,,0.27653158927063004,,0.0,4,vat,small,-0.45500641014104676,-0.2878275799411868,,-0.26563166238063973,,-0.0,1,images/CBS This Morning/11118_11359/00011123.jpg,4,2,0.4562214340173535,0.9118727912573656,,0.010899926889990301,,0.0,images/CBS This Morning/11118_11359,near,far,0.7739583333333333,0.22685185185185186
-0.06280283012695603,0.6497561807710992,,0.39913964699445104,,1.0,4,vat,medium,-0.09506400360433784,-0.29965550104388006,,-0.18336785439075942,,-1.0,1,images/CBS This Morning/11118_11359/00011123.jpg,4,3,0.032261173477381805,0.9494116818149793,,0.21577179260369161,,0.0,images/CBS This Morning/11118_11359,medium,far,0.7744791666666667,0.22777777777777777
-0.17811046383181822,0.6430975981488279,,0.402530821748016,,1.0,4,vat,large,-0.6311260195261499,-0.2978773821045958,,-0.23432129472804838,,-1.0,1,images/CBS This Morning/11118_11359/00011124.jpg,4,0,0.4530155556943316,0.9409749802534237,,0.16820952701996764,,0.0,images/CBS This Morning/11118_11359,far,far,0.7739583333333333,0.22685185185185186
-0.010621489871778245,0.7704131391679369,,0.3311955828234883,,1.0,4,vat,medium,0.02156656777445623,0.031962383235620284,,-0.08431667599395443,,-0.0,1,images/CBS This Morning/11118_11359/00011124.jpg,4,1,-0.032188057646234475,0.7384507559323166,,0.2468789068295339,,1.0,images/CBS This Morning/11118_11359,medium,far,0.315625,0.18611111111111112
0.0008337814105103813,0.6152098699507169,,0.27517377541179816,,0.0,4,vat,small,-0.45422656196069816,-0.29093882455027875,,-0.26288779901391335,,-0.0,1,images/CBS This Morning/11118_11359/00011124.jpg,4,2,0.45506034337120854,0.9061486945009957,,0.012285976397884792,,0.0,images/CBS This Morning/11118_11359,near,far,0.7729166666666667,0.22777777777777777
-0.0632672722460641,0.6494046360882124,,0.39834232402345915,,1.0,4,vat,medium,-0.09545532989229857,-0.30158677183340943,,-0.18359380065492456,,-1.0,1,images/CBS This Morning/11118_11359/00011124.jpg,4,3,0.032188057646234475,0.9509914079216218,,0.2147485233685346,,0.0,images/CBS This Morning/11118_11359,medium,far,0.7734375,0.22777777777777777
-0.06171354876791624,0.6525470302261678,,0.39834232402345915,,1.0,4,vat,large,-0.5216942147057981,-0.28736775356272737,,-0.2340316284560222,,-1.0,1,images/CBS This Morning/11118_11359/00011125.jpg,4,0,0.4599806659378819,0.9399147837888951,,0.16431069556743694,,0.0,images/CBS This Morning/11118_11359,far,far,0.7734375,0.22777777777777777
-0.003065857990201204,0.7628430619986873,,0.27823963340199936,,1.0,4,vat,medium,0.03165939423229103,0.036513181071469725,,-0.02927742593175542,,-0.0,1,images/CBS This Morning/11118_11359/00011125.jpg,4,1,-0.03472525222249223,0.7263298809272176,,0.24896220747024395,,1.0,images/CBS This Morning/11118_11359,medium,far,0.31354166666666666,0.18611111111111112
0.003065857990201204,0.6095124727905158,,0.27471647535346816,,0.0,4,vat,small,-0.44525257000224344,-0.312026313935335,,-0.2507952833293457,,-0.0,1,images/CBS This Morning/11118_11359/00011125.jpg,4,2,0.44831842799244465,0.9215387867258508,,0.023921192024122448,,0.0,images/CBS This Morning/11118_11359,near,far,0.7723958333333333,0.22777777777777777
-0.06171354876791624,0.6667823649167307,,0.39794408597599695,,1.0,4,vat,medium,-0.464844300355789,-0.29312077488161314,,-0.36428501493605875,,-1.0,1,images/CBS This Morning/11118_11359/00011125.jpg,4,3,0.40313075158787276,0.9599031397983439,,0.0336590710399382,,0.0,images/CBS This Morning/11118_11359,medium,far,0.7729166666666667,0.22777777777777777
-0.1763956736433047,0.6575153800798763,,0.40072682597107834,,1.0,4,vat,large,-0.6353361639310444,-0.2848401917920991,,-0.23537602729656512,,-1.0,1,images/CBS This Morning/11118_11359/00011126.jpg,4,0,0.45894049028773976,0.9423555718719754,,0.16535079867451322,,0.0,images/CBS This Morning/11118_11359,far,far,0.7723958333333333,0.22777777777777777
-0.014140586282958723,0.7664860735648041,,0.3441901030184016,,1.0,4,vat,medium,0.02057536409309002,0.043809587379990966,,-0.09574872075973748,,-0.0,1,images/CBS This Morning/11118_11359/00011126.jpg,4,1,-0.03471595037604874,0.7226764861848132,,0.2484413822586641,,1.0,images/CBS This Morning/11118_11359,medium,far,0.3140625,0.18611111111111112
0.0031158218136380644,0.6085727953364707,,0.27471647535346816,,0.0,4,vat,small,-0.4444987221141467,-0.3191083818190582,,-0.2507952833293457,,-0.0,1,images/CBS This Morning/11118_11359/00011126.jpg,4,2,0.44761454392778477,0.9276811771555289,,0.023921192024122448,,0.0,images/CBS This Morning/11118_11359,near,far,0.7723958333333333,0.22777777777777777
