bin,ci95_high,ci95_low,cluster_n,dimension,mean_improvement,metric,n,positive_means
far,,,0,target_distance,,min_l2,0,candidate_better
far,-0.43117134004245755,-0.6683015267514119,55,target_distance,-0.5648387096774193,target_confusion,3100,candidate_better
far,-0.3175103773214533,-0.5128292492645234,55,target_distance,-0.4198145006799987,association_margin,3100,candidate_better
medium,-0.09403042782576415,-0.14597637308928513,104,target_distance,-0.11747180639409976,auc,10337,candidate_better
medium,-0.08840458116200099,-0.14391174294762626,104,target_distance,-0.11546312146095106,l2,10337,candidate_better
medium,,,0,target_distance,,avg_l2,0,candidate_better
medium,,,0,target_distance,,min_l2,0,candidate_better
medium,-0.2224506846455031,-0.40485677944213966,72,target_distance,-0.3141070187630299,target_confusion,7195,candidate_better
medium,-0.12232039086448894,-0.20305939364920703,72,target_distance,-0.1600093150462104,association_margin,7195,candidate_better
near,0.024395317677095976,-0.17649944465482342,59,target_distance,-0.0576456058431024,auc,5418,candidate_better
near,0.014638157443195274,-0.1291547032157738,59,target_distance,-0.05105508462199497,l2,5418,candidate_better
near,,,0,target_distance,,avg_l2,0,candidate_better
near,,,0,target_distance,,min_l2,0,candidate_better
near,0.002583360515520146,-0.323527398763804,46,target_distance,-0.15568053993250844,target_confusion,4445,candidate_better
near,-0.005108367875709643,-0.23438978655730688,46,target_distance,-0.11104069027334929,association_margin,4445,candidate_better
out_or_missing,,,0,target_distance,,auc,0,candidate_better
out_or_missing,,,0,target_distance,,l2,0,candidate_better
out_or_missing,,,0,target_distance,,avg_l2,0,candidate_better
out_or_missing,,,0,target_distance,,min_l2,0,candidate_better
out_or_missing,,,0,target_distance,,target_confusion,0,candidate_better
out_or_missing,,,0,target_distance,,association_margin,0,candidate_better
close,-0.07449079219456751,-0.18050504097495285,34,target_separation,-0.12188443421678802,auc,2202,candidate_better
close,-0.07397292165162547,-0.16798195998711882,34,target_separation,-0.11755059792744073,l2,2202,candidate_better
close,,,0,target_separation,,avg_l2,0,candidate_better
close,,,0,target_separation,,min_l2,0,candidate_better
close,-0.14061355184458302,-0.31618680283128653,34,target_separation,-0.22116257947320617,target_confusion,2202,candidate_better
close,-0.04683923161636324,-0.12848979109632447,34,target_separation,-0.0759730519015226,association_margin,2202,candidate_better
far,-0.15620710142037983,-0.2550604742768752,56,target_separation,-0.21088900917501435,auc,5544,candidate_better
far,-0.12839123081714257,-0.21371337039310875,56,target_separation,-0.17365852712943758,l2,5544,candidate_better
far,,,0,target_separation,,avg_l2,0,candidate_better
far,,,0,target_separation,,min_l2,0,candidate_better
far,-0.2651716311253244,-0.46034834055466506,56,target_separation,-0.36832611832611833,target_confusion,5544,candidate_better
far,-0.25650644648277576,-0.3901337233445055,56,target_separation,-0.3206943447047632,association_margin,5544,candidate_better
medium,-0.0755012503334109,-0.1512047989348568,59,target_separation,-0.11082892211108383,auc,6994,candidate_better
medium,-0.07681221999834006,-0.13698967022192435,59,target_separation,-0.10605407984562851,l2,6994,candidate_better
medium,,,0,target_separation,,avg_l2,0,candidate_better
medium,,,0,target_separation,,min_l2,0,candidate_better
medium,-0.2455274767238139,-0.3860343946597283,59,target_separation,-0.3108378610237346,target_confusion,6994,candidate_better
medium,-0.10713894458161317,-0.1840060406891065,59,target_separation,-0.14312921572778917,association_margin,6994,candidate_better
shared_only,-0.1446117299119658,-0.23094693998790136,107,target_separation,-0.1898914529631787,auc,5915,candidate_better
shared_only,-0.13223896298167323,-0.21691742812137965,107,target_separation,-0.17682490007217758,l2,5915,candidate_better
shared_only,,,0,target_separation,,avg_l2,0,candidate_better
shared_only,,,0,target_separation,,min_l2,0,candidate_better
shared_only,,,0,target_separation,,target_confusion,0,candidate_better
shared_only,,,0,target_separation,,association_margin,0,candidate_better
undefined,,,0,target_separation,,auc,0,candidate_better
undefined,,,0,target_separation,,l2,0,candidate_better
undefined,,,0,target_separation,,avg_l2,0,candidate_better
undefined,,,0,target_separation,,min_l2,0,candidate_better
undefined,,,0,target_separation,,target_confusion,0,candidate_better
undefined,,,0,target_separation,,association_margin,0,candidate_better
