bin,ci95_high,ci95_low,cluster_n,dimension,mean_improvement,metric,n,positive_means
far,,,0,target_distance,,min_l2,0,candidate_better
far,-0.24352197944770818,-0.47534439629117914,55,target_distance,-0.37,target_confusion,3100,candidate_better
far,-0.210214897166376,-0.385235546954559,55,target_distance,-0.3029905260797328,association_margin,3100,candidate_better
medium,-0.032866298367357494,-0.06655435456401493,104,target_distance,-0.04884301398128376,auc,10337,candidate_better
medium,-0.028734871954319778,-0.07285363293989179,104,target_distance,-0.04977348653909412,l2,10337,candidate_better
medium,,,0,target_distance,,avg_l2,0,candidate_better
medium,,,0,target_distance,,min_l2,0,candidate_better
medium,-0.041748832225753645,-0.15059694600603943,72,target_distance,-0.0886726893676164,target_confusion,7195,candidate_better
medium,-0.03343789283377741,-0.09811181079524517,72,target_distance,-0.06362959915270645,association_margin,7195,candidate_better
near,0.02891604540401445,-0.015792535580254067,59,target_distance,0.005754922285226101,auc,5418,candidate_better
near,0.03240932496478395,-0.010630776494816795,59,target_distance,0.011414755011184026,l2,5418,candidate_better
near,,,0,target_distance,,avg_l2,0,candidate_better
near,,,0,target_distance,,min_l2,0,candidate_better
near,0.06142815911714709,-0.016982367965724644,46,target_distance,0.02002249718785152,target_confusion,4445,candidate_better
near,0.022677898269843875,-0.02966848928545403,46,target_distance,-0.005731541685937215,association_margin,4445,candidate_better
out_or_missing,,,0,target_distance,,auc,0,candidate_better
out_or_missing,,,0,target_distance,,l2,0,candidate_better
out_or_missing,,,0,target_distance,,avg_l2,0,candidate_better
out_or_missing,,,0,target_distance,,min_l2,0,candidate_better
out_or_missing,,,0,target_distance,,target_confusion,0,candidate_better
out_or_missing,,,0,target_distance,,association_margin,0,candidate_better
close,-0.027024752867027605,-0.08255682123523429,34,target_separation,-0.05248733802112487,auc,2202,candidate_better
close,-0.021306333680210808,-0.1084415715953701,34,target_separation,-0.058478674597458195,l2,2202,candidate_better
close,,,0,target_separation,,avg_l2,0,candidate_better
close,,,0,target_separation,,min_l2,0,candidate_better
close,-0.005390364389730825,-0.2040560236868155,34,target_separation,-0.10899182561307902,target_confusion,2202,candidate_better
close,-0.01216811863331326,-0.0922622859112391,34,target_separation,-0.048275525531185734,association_margin,2202,candidate_better
far,-0.05938864169632137,-0.11453368565508816,56,target_separation,-0.08530458306191599,auc,5544,candidate_better
far,-0.05928783205446629,-0.13887325506347514,56,target_separation,-0.09720455552412144,l2,5544,candidate_better
far,,,0,target_separation,,avg_l2,0,candidate_better
far,,,0,target_separation,,min_l2,0,candidate_better
far,-0.09781708333283737,-0.2598271472589867,56,target_separation,-0.1700937950937951,target_confusion,5544,candidate_better
far,-0.11149711876684176,-0.26077215363417816,56,target_separation,-0.18430657594648997,association_margin,5544,candidate_better
medium,-0.026741792080310335,-0.053928587815239536,59,target_separation,-0.03917182003206006,auc,6994,candidate_better
medium,-0.018196276597316045,-0.04889188127428274,59,target_separation,-0.0322360341368658,l2,6994,candidate_better
medium,,,0,target_separation,,avg_l2,0,candidate_better
medium,,,0,target_separation,,min_l2,0,candidate_better
medium,-0.03155538872118085,-0.11446644520296373,59,target_separation,-0.07334858450100086,target_confusion,6994,candidate_better
medium,-0.02259295811090642,-0.06099745956848114,59,target_separation,-0.04210236420901835,association_margin,6994,candidate_better
shared_only,-0.06333013097466832,-0.1195143378710693,107,target_separation,-0.09116421826556957,auc,5915,candidate_better
shared_only,-0.07455151526043144,-0.14395240001385498,107,target_separation,-0.10684245729447785,l2,5915,candidate_better
shared_only,,,0,target_separation,,avg_l2,0,candidate_better
shared_only,,,0,target_separation,,min_l2,0,candidate_better
shared_only,,,0,target_separation,,target_confusion,0,candidate_better
shared_only,,,0,target_separation,,association_margin,0,candidate_better
undefined,,,0,target_separation,,auc,0,candidate_better
undefined,,,0,target_separation,,l2,0,candidate_better
undefined,,,0,target_separation,,avg_l2,0,candidate_better
undefined,,,0,target_separation,,min_l2,0,candidate_better
undefined,,,0,target_separation,,target_confusion,0,candidate_better
undefined,,,0,target_separation,,association_margin,0,candidate_better
