bin,ci95_high,ci95_low,cluster_n,dimension,mean_improvement,metric,n,positive_means
medium,0.0007584049486565024,-0.0027742626665697647,72,target_distance,-0.0008035864732566183,association_margin,7195,candidate_better
near,0.0007564545091050008,-0.0007578983473234606,59,target_distance,-3.337815299897636e-05,auc,5418,candidate_better
near,0.0004199606949349237,-0.0030263669925689783,59,target_distance,-0.0012639997896314705,l2,5418,candidate_better
near,,,0,target_distance,,avg_l2,0,candidate_better
near,,,0,target_distance,,min_l2,0,candidate_better
near,0.0015023004549441358,-0.008404120684418346,46,target_distance,-0.0031496062992125984,target_confusion,4445,candidate_better
near,0.0010056824657602764,-0.004538617172086337,46,target_distance,-0.0017191110169575612,association_margin,4445,candidate_better
out_or_missing,,,0,target_distance,,auc,0,candidate_better
out_or_missing,,,0,target_distance,,l2,0,candidate_better
out_or_missing,,,0,target_distance,,avg_l2,0,candidate_better
out_or_missing,,,0,target_distance,,min_l2,0,candidate_better
out_or_missing,,,0,target_distance,,target_confusion,0,candidate_better
out_or_missing,,,0,target_distance,,association_margin,0,candidate_better
close,-1.0667182254330796e-05,-0.0009191582823080108,34,target_separation,-0.00047539475395426943,auc,2202,candidate_better
close,0.0011855027453248634,-0.00040584338056287225,34,target_separation,0.0003059707079902622,l2,2202,candidate_better
close,,,0,target_separation,,avg_l2,0,candidate_better
close,,,0,target_separation,,min_l2,0,candidate_better
close,0.009951606225353444,-0.004361480712395541,34,target_separation,0.002270663033605813,target_confusion,2202,candidate_better
close,0.0022007814054124226,-0.00035880467429179634,34,target_separation,0.0008216552548061683,association_margin,2202,candidate_better
far,0.0005015255850299393,-0.0005443230697100051,56,target_separation,-5.51703755406709e-05,auc,5544,candidate_better
far,0.0007489413298342452,-0.0016806945033061814,56,target_separation,-0.0004980605099931452,l2,5544,candidate_better
far,,,0,target_separation,,avg_l2,0,candidate_better
far,,,0,target_separation,,min_l2,0,candidate_better
far,0.00022506844604605624,-0.0050868229228676195,56,target_separation,-0.002344877344877345,target_confusion,5544,candidate_better
far,0.0007435718619041387,-0.0033735831923943907,56,target_separation,-0.001365875628434152,association_margin,5544,candidate_better
medium,-0.0001126018256761364,-0.0008714829165161911,59,target_separation,-0.00048118210359164674,auc,6994,candidate_better
