bin,ci95_high,ci95_low,cluster_n,dimension,mean_improvement,metric,n,positive_means
far,,,0,target_distance,,min_l2,0,candidate_better
far,0.04717480929436203,-0.06299351973282503,55,target_distance,-0.012903225806451613,target_confusion,3100,candidate_better
far,0.008075939947670792,-0.05305535311757391,55,target_distance,-0.020669773602227857,association_margin,3100,candidate_better
medium,-0.03117388391328795,-0.05062080652554075,104,target_distance,-0.04095079382098077,auc,10337,candidate_better
medium,-0.019882854716894428,-0.06643829793346692,104,target_distance,-0.04237205648305186,l2,10337,candidate_better
medium,,,0,target_distance,,avg_l2,0,candidate_better
medium,,,0,target_distance,,min_l2,0,candidate_better
medium,-0.028356980353585165,-0.1368687473001211,72,target_distance,-0.07797081306462822,target_confusion,7195,candidate_better
medium,-0.019566559533307798,-0.10393880557739539,72,target_distance,-0.05834466098423259,association_margin,7195,candidate_better
near,-0.0391750577845793,-0.0652469561667187,59,target_distance,-0.05047958589880976,auc,5418,candidate_better
near,-0.023664841137025962,-0.06865939782304062,59,target_distance,-0.044745703191776745,l2,5418,candidate_better
near,,,0,target_distance,,avg_l2,0,candidate_better
near,,,0,target_distance,,min_l2,0,candidate_better
near,-0.040919759593615594,-0.13185865420344808,46,target_distance,-0.08031496062992126,target_confusion,4445,candidate_better
near,-0.02631355583460725,-0.07636507371660572,46,target_distance,-0.0500843159256442,association_margin,4445,candidate_better
out_or_missing,,,0,target_distance,,auc,0,candidate_better
out_or_missing,,,0,target_distance,,l2,0,candidate_better
out_or_missing,,,0,target_distance,,avg_l2,0,candidate_better
out_or_missing,,,0,target_distance,,min_l2,0,candidate_better
out_or_missing,,,0,target_distance,,target_confusion,0,candidate_better
out_or_missing,,,0,target_distance,,association_margin,0,candidate_better
close,-0.03473170910154284,-0.06392403249539808,34,target_separation,-0.04927440447770129,auc,2202,candidate_better
close,-0.012970284259879653,-0.053678116478266445,34,target_separation,-0.028769506876745905,l2,2202,candidate_better
close,,,0,target_separation,,avg_l2,0,candidate_better
close,,,0,target_separation,,min_l2,0,candidate_better
close,-0.0013479055255491872,-0.0875567803036815,34,target_separation,-0.05267938237965486,target_confusion,2202,candidate_better
close,-0.003795521263762471,-0.040435434363500444,34,target_separation,-0.02025854870688297,association_margin,2202,candidate_better
far,-0.024328216103555813,-0.04611943509032495,56,target_separation,-0.03525611257643639,auc,5544,candidate_better
far,-0.027866916530818138,-0.08149678974919713,56,target_separation,-0.05683457050933259,l2,5544,candidate_better
far,,,0,target_separation,,avg_l2,0,candidate_better
far,,,0,target_separation,,min_l2,0,candidate_better
far,-0.03195952580638446,-0.1451906346652929,56,target_separation,-0.09054834054834054,target_confusion,5544,candidate_better
far,-0.031627110964775926,-0.12461684180715607,56,target_separation,-0.08161615585573145,association_margin,5544,candidate_better
medium,-0.02587249627990649,-0.0456462805494263,59,target_separation,-0.0353367758244114,auc,6994,candidate_better
medium,-0.009863893321484789,-0.03762193374006046,59,target_separation,-0.024103132991025712,l2,6994,candidate_better
medium,,,0,target_separation,,avg_l2,0,candidate_better
medium,,,0,target_separation,,min_l2,0,candidate_better
medium,-0.020123476959895536,-0.07791146690104281,59,target_separation,-0.04861309694023449,target_confusion,6994,candidate_better
medium,-0.015445626259903382,-0.04543340734011911,59,target_separation,-0.029940181001031862,association_margin,6994,candidate_better
shared_only,-0.02308874129403658,-0.04465557968330811,107,target_separation,-0.03277272442649059,auc,5915,candidate_better
shared_only,-0.01918153749606925,-0.05703990747696255,107,target_separation,-0.036779260514777395,l2,5915,candidate_better
shared_only,,,0,target_separation,,avg_l2,0,candidate_better
shared_only,,,0,target_separation,,min_l2,0,candidate_better
shared_only,,,0,target_separation,,target_confusion,0,candidate_better
shared_only,,,0,target_separation,,association_margin,0,candidate_better
undefined,,,0,target_separation,,auc,0,candidate_better
undefined,,,0,target_separation,,l2,0,candidate_better
undefined,,,0,target_separation,,avg_l2,0,candidate_better
undefined,,,0,target_separation,,min_l2,0,candidate_better
undefined,,,0,target_separation,,target_confusion,0,candidate_better
undefined,,,0,target_separation,,association_margin,0,candidate_better
