bin,ci95_high,ci95_low,cluster_n,dimension,mean_improvement,metric,n,positive_means
far,,,0,target_distance,,avg_l2,0,candidate_better
far,,,0,target_distance,,min_l2,0,candidate_better
far,0.0017609069962714523,-0.014248762415695074,55,target_distance,-0.0064516129032258064,target_confusion,3100,candidate_better
far,-0.0003422975677321435,-0.012585131117597077,55,target_distance,-0.006293400643009179,association_margin,3100,candidate_better
medium,0.0015007522966130375,-0.0005035159049585007,104,target_distance,0.0003963024860124317,auc,10337,candidate_better
medium,0.0023577419192967125,-0.0007150149388011359,104,target_distance,0.000758188976746876,l2,10337,candidate_better
medium,,,0,target_distance,,avg_l2,0,candidate_better
medium,,,0,target_distance,,min_l2,0,candidate_better
medium,0.0038704490072411436,-0.002842211032697679,72,target_distance,0.0002779708130646282,target_confusion,7195,candidate_better
medium,0.0011185178627981932,-0.0022977149581824043,72,target_distance,-0.0006982245517975522,association_margin,7195,candidate_better
near,0.008028248827231606,0.002377089074118327,59,target_distance,0.0049946371341407095,auc,5418,candidate_better
near,0.005783685021356437,-0.0014181267594176547,59,target_distance,0.0023715637152647013,l2,5418,candidate_better
near,,,0,target_distance,,avg_l2,0,candidate_better
near,,,0,target_distance,,min_l2,0,candidate_better
near,0.02998032994032991,0.0036438598836116484,46,target_distance,0.014173228346456693,target_confusion,4445,candidate_better
near,0.014907105372672261,-0.0024328050643120354,46,target_distance,0.004710936525108134,association_margin,4445,candidate_better
out_or_missing,,,0,target_distance,,auc,0,candidate_better
out_or_missing,,,0,target_distance,,l2,0,candidate_better
out_or_missing,,,0,target_distance,,avg_l2,0,candidate_better
out_or_missing,,,0,target_distance,,min_l2,0,candidate_better
out_or_missing,,,0,target_distance,,target_confusion,0,candidate_better
out_or_missing,,,0,target_distance,,association_margin,0,candidate_better
close,0.002889961689955626,-4.350348693566765e-05,34,target_separation,0.0009318361008787912,auc,2202,candidate_better
close,0.008451272153146318,0.00020711987686225267,34,target_separation,0.004160541664661015,l2,2202,candidate_better
close,,,0,target_separation,,avg_l2,0,candidate_better
close,,,0,target_separation,,min_l2,0,candidate_better
close,0.025543642191501837,0.0005651302532548584,34,target_separation,0.013169845594913715,target_confusion,2202,candidate_better
close,0.006307697422862822,-0.0006005497109196766,34,target_separation,0.002489502062583488,association_margin,2202,candidate_better
far,0.0018053212960826698,-0.001036726234428737,56,target_separation,0.00015725225930455353,auc,5544,candidate_better
far,0.0013744991599033843,-0.004051850194267299,56,target_separation,-0.0013044661955663012,l2,5544,candidate_better
far,,,0,target_separation,,avg_l2,0,candidate_better
far,,,0,target_separation,,min_l2,0,candidate_better
far,0.0017708716734145156,-0.007711781468710178,56,target_separation,-0.0027056277056277055,target_confusion,5544,candidate_better
far,5.074879704441332e-05,-0.008839797874708856,56,target_separation,-0.004012309206315758,association_margin,5544,candidate_better
medium,0.002964391894132077,-9.612033680684077e-05,59,target_separation,0.0012648145005926133,auc,6994,candidate_better
medium,0.0029306038586680073,-0.0009272315827159857,59,target_separation,0.0009838478862301684,l2,6994,candidate_better
medium,,,0,target_separation,,avg_l2,0,candidate_better
medium,,,0,target_separation,,min_l2,0,candidate_better
medium,0.013090978456970678,-0.001629701347559847,59,target_separation,0.004432370603374321,target_confusion,6994,candidate_better
medium,0.00776253271511258,-0.001829425943622483,59,target_separation,0.0018829287830425406,association_margin,6994,candidate_better
shared_only,0.0027586078999234844,-0.00046562295451986696,107,target_separation,0.0010151319301390151,auc,5915,candidate_better
shared_only,-0.0003551370875334998,-0.006021718516609922,107,target_separation,-0.0029337444905736102,l2,5915,candidate_better
shared_only,,,0,target_separation,,avg_l2,0,candidate_better
shared_only,,,0,target_separation,,min_l2,0,candidate_better
shared_only,,,0,target_separation,,target_confusion,0,candidate_better
shared_only,,,0,target_separation,,association_margin,0,candidate_better
undefined,,,0,target_separation,,auc,0,candidate_better
undefined,,,0,target_separation,,l2,0,candidate_better
undefined,,,0,target_separation,,avg_l2,0,candidate_better
undefined,,,0,target_separation,,min_l2,0,candidate_better
undefined,,,0,target_separation,,target_confusion,0,candidate_better
undefined,,,0,target_separation,,association_margin,0,candidate_better
