bin,ci95_high,ci95_low,cluster_n,dimension,mean_improvement,metric,n,positive_means
far,0.00039342658918012157,-0.00034820061172937327,82,target_distance,1.4514680756324889e-05,l2,4900,candidate_better
far,,,0,target_distance,,avg_l2,0,candidate_better
far,,,0,target_distance,,min_l2,0,candidate_better
far,0.0,-0.0011434901049173576,55,target_distance,-0.0003225806451612903,target_confusion,3100,candidate_better
far,0.0007953316920575211,-6.972896323840334e-05,55,target_distance,0.0002483819265614432,association_margin,3100,candidate_better
medium,3.8010319698980924e-06,-9.573335304416793e-05,104,target_distance,-4.47610723728126e-05,auc,10337,candidate_better
medium,0.00034127634707708057,-0.00012564070515272432,104,target_distance,8.472544350824002e-05,l2,10337,candidate_better
medium,,,0,target_distance,,avg_l2,0,candidate_better
medium,,,0,target_distance,,min_l2,0,candidate_better
medium,0.0011903041529338979,-0.0002937155686156282,72,target_distance,0.0004169562195969423,target_confusion,7195,candidate_better
medium,0.00034174714474112755,-0.0003221327456745461,72,target_distance,4.1149526958924117e-05,association_margin,7195,candidate_better
near,7.750254639526251e-05,-5.85692596380943e-05,59,target_distance,1.3090144553107869e-06,auc,5418,candidate_better
near,4.846173373927398e-05,-0.0005058031228132475,59,target_distance,-0.00015546604609572174,l2,5418,candidate_better
near,,,0,target_distance,,avg_l2,0,candidate_better
near,,,0,target_distance,,min_l2,0,candidate_better
near,0.0013100484892663465,-0.000872305722968633,46,target_distance,0.0002249718785151856,target_confusion,4445,candidate_better
near,0.0008133960256808398,-0.00031793034433512477,46,target_distance,0.000239663661964495,association_margin,4445,candidate_better
out_or_missing,,,0,target_distance,,auc,0,candidate_better
out_or_missing,,,0,target_distance,,l2,0,candidate_better
out_or_missing,,,0,target_distance,,avg_l2,0,candidate_better
out_or_missing,,,0,target_distance,,min_l2,0,candidate_better
out_or_missing,,,0,target_distance,,target_confusion,0,candidate_better
out_or_missing,,,0,target_distance,,association_margin,0,candidate_better
close,7.130125624809161e-05,-9.138142637230552e-05,34,target_separation,-2.423013844550856e-05,auc,2202,candidate_better
close,0.0004961617528979898,-0.00010202599152749847,34,target_separation,0.00012674942142877404,l2,2202,candidate_better
close,,,0,target_separation,,avg_l2,0,candidate_better
close,,,0,target_separation,,min_l2,0,candidate_better
close,0.0016219530156859837,-0.0021692310279305183,34,target_separation,-0.00045413260672116256,target_confusion,2202,candidate_better
close,0.0010490153679950302,-4.566754148240598e-05,34,target_separation,0.00030457126482089027,association_margin,2202,candidate_better
far,-1.746550356251974e-05,-0.00011316852590066384,56,target_separation,-7.135849686315427e-05,auc,5544,candidate_better
far,6.474931003048007e-05,-0.0003622437540125755,56,target_separation,-0.00010338970865490063,l2,5544,candidate_better
far,,,0,target_separation,,avg_l2,0,candidate_better
far,,,0,target_separation,,min_l2,0,candidate_better
far,0.0005016473438074926,-0.000499186501895372,56,target_separation,0.0,target_confusion,5544,candidate_better
far,0.00026978214349662673,-0.000518013336378902,56,target_separation,-7.025526119670027e-05,association_margin,5544,candidate_better
medium,3.234204912941955e-05,-5.3380426793128434e-05,59,target_separation,-1.0035963910463218e-05,auc,6994,candidate_better
medium,0.0003620433674133816,-0.000301296468756847,59,target_separation,1.4309906241191108e-05,l2,6994,candidate_better
medium,,,0,target_separation,,avg_l2,0,candidate_better
medium,,,0,target_separation,,min_l2,0,candidate_better
medium,0.001320696520019384,0.0,59,target_separation,0.0005719187875321705,target_confusion,6994,candidate_better
medium,0.0005667611976073602,-3.879549539098256e-06,59,target_separation,0.0002645394679984299,association_margin,6994,candidate_better
shared_only,3.668468135022913e-05,-6.748192259250151e-05,107,target_separation,-1.553011913855341e-05,auc,5915,candidate_better
