bin,ci95_high,ci95_low,cluster_n,dimension,mean_improvement,metric,n,positive_means
far,,,0,target_distance,,min_l2,0,candidate_better
far,-0.4451158281710583,-0.6767892575541367,55,target_distance,-0.577741935483871,target_confusion,3100,candidate_better
far,-0.3513239140810654,-0.5245493443121888,55,target_distance,-0.44048427428222653,association_margin,3100,candidate_better
medium,-0.13615202286941414,-0.18414890685231008,104,target_distance,-0.15842260021508053,auc,10337,candidate_better
medium,-0.13440950690765466,-0.18128458191830418,104,target_distance,-0.1578351779440029,l2,10337,candidate_better
medium,,,0,target_distance,,avg_l2,0,candidate_better
medium,,,0,target_distance,,min_l2,0,candidate_better
medium,-0.3246225770138613,-0.4575589188855257,72,target_distance,-0.3920778318276581,target_confusion,7195,candidate_better
medium,-0.17444898539378617,-0.2580593790171199,72,target_distance,-0.218353976030443,association_margin,7195,candidate_better
near,-0.03235907500463097,-0.21919297302025886,59,target_distance,-0.10812519174191215,auc,5418,candidate_better
near,-0.04100748444446723,-0.1662820570075214,59,target_distance,-0.09580078781377172,l2,5418,candidate_better
near,,,0,target_distance,,avg_l2,0,candidate_better
near,,,0,target_distance,,min_l2,0,candidate_better
near,-0.09784676390218403,-0.38723507914698496,46,target_distance,-0.23599550056242968,target_confusion,4445,candidate_better
near,-0.06475239184243374,-0.28099480252372305,46,target_distance,-0.1611250061989935,association_margin,4445,candidate_better
out_or_missing,,,0,target_distance,,auc,0,candidate_better
out_or_missing,,,0,target_distance,,l2,0,candidate_better
out_or_missing,,,0,target_distance,,avg_l2,0,candidate_better
out_or_missing,,,0,target_distance,,min_l2,0,candidate_better
out_or_missing,,,0,target_distance,,target_confusion,0,candidate_better
out_or_missing,,,0,target_distance,,association_margin,0,candidate_better
close,-0.12448632020114697,-0.22617601683825606,34,target_separation,-0.1711588386944893,auc,2202,candidate_better
close,-0.10541568394796831,-0.19243473059314067,34,target_separation,-0.1463201048041866,l2,2202,candidate_better
close,,,0,target_separation,,avg_l2,0,candidate_better
close,,,0,target_separation,,min_l2,0,candidate_better
close,-0.18534132205972864,-0.3526103250982259,34,target_separation,-0.273841961852861,target_confusion,2202,candidate_better
close,-0.06692972780800074,-0.14145862328122824,34,target_separation,-0.09623160060840558,association_margin,2202,candidate_better
far,-0.19184546287403906,-0.2882372782154756,56,target_separation,-0.24614512175145078,auc,5544,candidate_better
far,-0.18877766295093432,-0.2607202820856876,56,target_separation,-0.23049309763877016,l2,5544,candidate_better
far,,,0,target_separation,,avg_l2,0,candidate_better
far,,,0,target_separation,,min_l2,0,candidate_better
far,-0.3561231375241701,-0.5291489962038085,56,target_separation,-0.4588744588744589,target_confusion,5544,candidate_better
far,-0.33902995029953825,-0.4521761665420878,56,target_separation,-0.40231050056049467,association_margin,5544,candidate_better
medium,-0.11269175370627668,-0.183334134091746,59,target_separation,-0.14616569793549522,auc,6994,candidate_better
medium,-0.10669474484215193,-0.15675372314910066,59,target_separation,-0.1301572128366542,l2,6994,candidate_better
medium,,,0,target_separation,,avg_l2,0,candidate_better
medium,,,0,target_separation,,min_l2,0,candidate_better
medium,-0.2998085551497314,-0.4250748148211501,59,target_separation,-0.35945095796396914,target_confusion,6994,candidate_better
medium,-0.14120896143282022,-0.2106557742630049,59,target_separation,-0.17306939672882105,association_margin,6994,candidate_better
shared_only,-0.18270179701094327,-0.2610619718780547,107,target_separation,-0.22266417738966932,auc,5915,candidate_better
shared_only,-0.17778708543825528,-0.24780123225546244,107,target_separation,-0.21360416058695494,l2,5915,candidate_better
shared_only,,,0,target_separation,,avg_l2,0,candidate_better
shared_only,,,0,target_separation,,min_l2,0,candidate_better
shared_only,,,0,target_separation,,target_confusion,0,candidate_better
shared_only,,,0,target_separation,,association_margin,0,candidate_better
undefined,,,0,target_separation,,auc,0,candidate_better
undefined,,,0,target_separation,,l2,0,candidate_better
undefined,,,0,target_separation,,avg_l2,0,candidate_better
undefined,,,0,target_separation,,min_l2,0,candidate_better
undefined,,,0,target_separation,,target_confusion,0,candidate_better
undefined,,,0,target_separation,,association_margin,0,candidate_better
